id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age
http://www.wikidata.org/entity/Q528666,روبرت، كونت بورغندي@ar,ar,rawbrt kuːnt bawrɣndiː,,,1300-01-01,1315-01-01,15
http://www.wikidata.org/entity/Q447129,إليانور من وودستوك@ar,ar,ʔljaːnwr mn uːuːdstawk,,,1318-06-26,1355-04-30,37
http://www.wikidata.org/entity/Q2141886,أبو الحجاج يوسف الأول@ar,ar,ʔbw aːlħʒaːdʒ juːsf aːlʔ|uuːl,المؤيد بالله أبو الحجاج يوسف الأول,,1318-07-07,1354-10-27,36
http://www.wikidata.org/entity/Q124772128,ابن النَّشَائِي@ar,ar,aːbn aːln_ʃ_aːʔieː,محمد بن عبد القاهر بن أبي بكر النشائي,أديب وشاعر سلمي، من كتّاب الإنشاء السلطاني,1319-01-01,1369-01-01,50
http://www.wikidata.org/entity/Q25452421,برهان الدين ابن القيم@ar,ar,brhaːn aːldjn aːbn aːlqːn aːldjn aːbn aːlʔjm,برهان الدين بن شمس الدين بن قيم الجوزية,نحوي وفقيه حنبلي (719 – 767هـ / 1319 – 1365م),1319-01-01,1365-01-01,46
http://www.wikidata.org/entity/Q2863047,ارنو أوبيرت@ar,ar,aːrnaw ʔwbjrt,,كهنوت فرنسي,1319-01-01,1371-06-19,52
http://www.wikidata.org/entity/Q6652529,ماريا دي لارا@ar,ar,maːrjaː diː laːraː,,,1319-01-01,1375-03-21,56
http://www.wikidata.org/entity/Q63178,ستيفن الثاني دوق بافاريا@ar,ar,steːfn aːlθaːnaj dawq baːfaːrajaː,,,1319-01-01,1375-05-21,56
http://www.wikidata.org/entity/Q169992,جان الثاني ملك فرنسا@ar,ar,gaːn aːlθaːnaj mlk frnsaː,جون الثاني ملك فرنسا,,1319-05-04,1364-04-16,45
http://www.wikidata.org/entity/Q4755935,بلانكا من قشتالة، انفانتا برتغالية@ar,ar,blaːnkaː mn qʃtaːla aːnfaːntaː brtɣaːliːa,,,1319-08-01,1375-01-01,56
http://www.wikidata.org/entity/Q20415223,بهاء الدين السبكي@ar,ar,bhaː_ aːldjn aːlsbkaj,البهاء السبكي,فقيه سني شافعي عاش خلال العصر المملوكي,1319-08-15,1372-01-15,53
http://www.wikidata.org/entity/Q173893,جون ويكليف@ar,ar,dʒawn awiːkliːf,,,1320-01-01,1385-01-08,65
http://www.wikidata.org/entity/Q216630,فالديمار الرابع ملك الدنمارك@ar,ar,faːldajmaːr aːlraːbʕ mlk aːldnmaːrk,,,1320-01-01,1375-10-24,55
http://www.wikidata.org/entity/Q242598,بلانش من نامور@ar,ar,blaːnʃ mn naːmuːr,,ملكة السويد والنرويج القرينة,1320-01-01,1363-01-01,43
http://www.wikidata.org/entity/Q269586,بياتريس دي بوربون، ملكة بوهيميا@ar,ar,biːaːtrjs diː boːrbuːn mlkt bwhiːmiːaː,,,1320-01-01,1383-12-23,63
http://www.wikidata.org/entity/Q310777,نيكول أورسمه@ar,ar,niːkoːl ʔ|uwrsmh,,فيلسوف فرنسي,1320-01-01,1382-07-19,62
http://www.wikidata.org/entity/Q3484434,سيمون ريتشارد@ar,ar,siːmoːn riːtʃaːrd,,,1320-01-01,1381-01-01,61
http://www.wikidata.org/entity/Q380071,فوكاشين مرنيافتشيفتش@ar,ar,foːkaːʃjn mrneːaːftʃeːftʃ,,,1320-01-01,1371-09-26,51
http://www.wikidata.org/entity/Q55903101,ابن بَرْدِس@ar,ar,aːbn b_rdis,ابن بردس,عالم حديث من علماء الحديث، نظم النهاية لابن الأثير,1320-01-01,1384-01-01,64
http://www.wikidata.org/entity/Q5725917,هنري ميتشيل@ar,ar,hnraj miːtʃjl,,قاضي أيرلندي,1320-01-01,1384-01-01,64
http://www.wikidata.org/entity/Q6119839,سانشو مانويل  دي بليانة وكاستانيدا@ar,ar,saːnʃuː maːnweːl diː bliːaːnt oːkaːstaːneːdaː,,,1320-01-01,1347-01-01,27
http://www.wikidata.org/entity/Q738040,لويجي من تارانتو@ar,ar,luːjdʒiː mn taːraːntaw,,,1320-01-01,1362-01-01,42
http://www.wikidata.org/entity/Q7487698,شمس الدين الخليلي@ar,ar,ʃms aːldjn aːlxliːliː,شمس الدين ابو عبدالله الخليلي,,1320-01-01,1380-01-01,60
http://www.wikidata.org/entity/Q8512736,وانسونغ داي غن@ar,ar,awaːnswnɣ daːeː ɣn,,,1320-01-01,1385-01-01,65
http://www.wikidata.org/entity/Q295824,بيدرو الأول ملك البرتغال@ar,ar,biːdruː aːlʔ|uuːl mlk aːlbrtɣaːl,بيتر الأول ملك البرتغال,ملك البرتغال,1320-04-08,1367-01-18,47
http://www.wikidata.org/entity/Q8666,توغون تيمور@ar,ar,toːɣoːn tiːmoːr,,,1320-06-02,1370-05-31,50
http://www.wikidata.org/entity/Q234022,إينيس دي كاسترو@ar,ar,ʔiːnjs diː kaːstraw,,,1320-12-25,1355-01-15,35
http://www.wikidata.org/entity/Q113771520,أبو عبد الله بن جزي@ar,ar,ʔbw ʕbd aːllh bn dʒzeː,أبو عبد الله محمد بن محمد الكاتب,,1321-01-01,1357-01-01,36
http://www.wikidata.org/entity/Q124741722,الطَّرسُوسي@ar,ar,tˤ_rs_wsaj,إبراهيم بن علي بن أحمد بن عبد الواحد ابن عبد المنعم الطرسوسي,قاض ومؤلف من دمشق، عاش وتوفي في نفس المدينة,1321-01-01,1357-01-01,36
http://www.wikidata.org/entity/Q124769017,الفَضْل الحَفْصي@ar,ar,f_dˤl aːlħ_fsˤj,الفضل بن أبي بكر المتوكل على الله بن يحيى الحفصي,من ملوك الحفصيين بتونس، تولى الحكم في أوقات اختلال الدولة وانحلالها,1321-01-01,1350-01-01,29
http://www.wikidata.org/entity/Q124772419,ابن حَدِيدة@ar,ar,aːbn ħ_dijda,محمد بن علي بن أحمد بن عبد الرحمن بن حسن الأنصاري,مؤرخ ومحدث عني بالحديث، مقدسي الأصل، سكن القاهرة وصنف العديد من الكتب,1321-01-01,1381-01-01,60
http://www.wikidata.org/entity/Q2512868,خايمي الأول، كونت أورغل@ar,ar,xaːajmj aːlʔ|uuːl kuːnt ʔawrɣl,,,1321-01-01,1347-11-23,26
http://www.wikidata.org/entity/Q286582,المنصور سيف الدين أبو بكر@ar,ar,mnsˤawr sajf aːldjn ʔbw bkr,,سلطان مملوكي,1321-01-01,1341-01-01,20
http://www.wikidata.org/entity/Q628624,جاك الأول، كونت لامارش@ar,ar,gaːk aːlʔ|uuːl kuːnt laːmaːrʃ,جيمس الأول، كونت لامارش,,1321-01-01,1362-04-14,41
http://www.wikidata.org/entity/Q704619,تشانغ شيتشنغ@ar,ar,tʃaːnɣ ʃjtʃnɣ,,,1321-01-01,1367-01-01,46
http://www.wikidata.org/entity/Q242322,جوان البرج@ar,ar,gwaːn aːlbrg,جوان من إنجلترا,ملكة اسكتلندا,1321-07-13,1362-09-15,41
http://www.wikidata.org/entity/Q107344361,شمس الدين الزركشي@ar,ar,ʃms aːldjn aːlzrkʃaj,محمد بن عبد الله بن محمد الزركشي,فقيه حنبلي (722 – 772هـ / 1322 – 1370م),1322-01-01,1370-12-21,48
