id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age
http://www.wikidata.org/entity/Q805626,בלתזר מייזנר@he,he,bltzʁ miiznʁ,,,1587-02-03,1626-12-29,39
http://www.wikidata.org/entity/Q1700274,פאול רבר@he,he,faol ʁbʁ,,תאולוג גרמני,1587-02-05,1651-03-18,64
http://www.wikidata.org/entity/Q381943,סטפאנו לאנדי@he,he,stfʔno lʔndi,,,1587-02-26,1639-10-28,52
http://www.wikidata.org/entity/Q356145,"ויטוריו אמדאו הראשון, דוכס סבויה@he",he,witorio ʔmdao hrʔʃon doχs svoia,,,1587-05-08,1637-10-07,50
http://www.wikidata.org/entity/Q467361,אסיאס ואן דה ולדה@he,he,ʔsiʔs wʔn da wlda,,צייר הולנדי,1587-05-17,1630-11-18,43
http://www.wikidata.org/entity/Q3978238,"סוזן הרברט, רוזנת מונטגומרי@he",he,sozn hʁbʁt roznt montɡomri,,,1587-05-26,1629-01-01,42
http://www.wikidata.org/entity/Q499669,הנס ואן סטנבינקל הבן@he,he,hns wʔn stnbinkl hbn,,אדריכל דני,1587-06-24,1639-08-06,52
http://www.wikidata.org/entity/Q64102,מגדלנה מבוואריה@he,he,mɡdlna mboʔʁia,,,1587-07-04,1628-09-25,41
http://www.wikidata.org/entity/Q26177,ח'וסרו מירזא@he,he,χvsʁo miʁzʔ,,,1587-08-16,1622-01-26,35
http://www.wikidata.org/entity/Q271511,וירג'יניה דייר@he,he,virɡinia diiʁ,,הילדה הראשונה שנולדה למתיישבים אנגליים ביבשת אמריקה,1587-08-18,1600-01-01,13
http://www.wikidata.org/entity/Q19896262,מוחמד באקר מירזא@he,he,moχmd bʔkr miʁzʔ,,,1587-09-15,1615-01-25,28
http://www.wikidata.org/entity/Q232035,פרנצ'סקה קאצ'יני@he,he,fʁntsska kʔtsini,,מלחינה איטלקייה,1587-09-18,1640-01-01,53
http://www.wikidata.org/entity/Q2325216,ליידי מרי וורות'@he,he,liidi mʁi voot,,,1587-10-18,1652-01-01,65
http://www.wikidata.org/entity/Q1871628,לואיס דה גיר@he,he,loʔis da ɡiʁ,,,1587-11-17,1652-06-19,65
http://www.wikidata.org/entity/Q1140161,מרינה מנישק@he,he,mʁina mniʃk,,,1588-01-01,1614-12-24,26
http://www.wikidata.org/entity/Q17522262,ארז'בט ראקצי@he,he,ʔrzvt rʔktsi,,"בתו היחידה של ז'יגמונד ראקוצי, נסיך טרנסילבניה ושל אשתו הראשונה, יודית בייקיין אלאגי",1588-01-01,1604-01-01,16
http://www.wikidata.org/entity/Q274443,קניאז'נה מובילה@he,he,qniʔzna movila,Regina Wisniowiecka,"אצילה אוקראינית-פולנית, ילידת מולדובה",1588-01-01,1619-01-01,31
http://www.wikidata.org/entity/Q282063,שרה קופיו סולם@he,he,ʃʁa qofio solm,שרה קופיה,סופרת ומשוררת מאות 16-17,1588-01-01,1641-02-15,53
http://www.wikidata.org/entity/Q437233,הנדריק טר ברוחן@he,he,hndriq tʁ bʁoχn,,צייר הולנדי,1588-01-01,1629-11-01,41
http://www.wikidata.org/entity/Q5482863,פרנסיס וויאט@he,he,frnsis viʔt,,,1588-01-01,1644-01-01,56
http://www.wikidata.org/entity/Q5687502,חיים בן יעקב אלפאנדרי@he,he,χiim bn jʔqb ʔlfʔndʁi,,,1588-01-01,1640-01-01,52
http://www.wikidata.org/entity/Q5726431,"הנרי או'בריאן, הרוזן החמישי של תומונד@he",he,hnri aobʁiʔn hʁozn hχmiʃi ʃl tomond,,,1588-01-01,1639-07-26,51
http://www.wikidata.org/entity/Q634595,תומאס רייבנסקרופט@he,he,tomʔs riibnskʁoft,,,1588-01-01,1635-01-01,47
http://www.wikidata.org/entity/Q944308,יוהנס מקוביוס@he,he,johns mkobios,,,1588-01-01,1644-06-24,56
http://www.wikidata.org/entity/Q720766,ג'ון וינתרופ@he,he,ɡvn wintrof,,,1588-01-22,1649-03-26,61
http://www.wikidata.org/entity/Q351856,"אנרי, נסיך קונדה (1588–1646)@he",he,ʔnrj nsjχ kwndh,,,1588-09-01,1646-12-26,58
http://www.wikidata.org/entity/Q55884295,אשר לוי@he,he,ʔʃr loi,,רב,1588-09-04,1635-01-01,47
http://www.wikidata.org/entity/Q188663,מרן מרסן@he,he,mrn mʁsn,מראן מרסן,,1588-09-08,1648-09-01,60
http://www.wikidata.org/entity/Q62332,יוהאן פון אלדרינגן@he,he,johʔn fon ʔldʁiŋn,,,1588-11-10,1634-07-22,46
http://www.wikidata.org/entity/Q1048336,מרקו קריצין@he,he,mrko kʁitsin,,,1589-01-01,1619-09-07,30
http://www.wikidata.org/entity/Q1679469,ג'יימס רמזי@he,he,ɡiims ʁmzi,,,1589-01-01,1639-06-29,50
http://www.wikidata.org/entity/Q206459,פיודור השני@he,he,fiodoʁ hʃni,,,1589-01-01,1605-06-20,16
http://www.wikidata.org/entity/Q2094250,פיטר ברויגל השלישי@he,he,fitʁ bʁoiɡl hʃliʃi,,,1589-01-01,1608-01-01,19
http://www.wikidata.org/entity/Q931846,הרקולס סגרס@he,he,hrqols sɡʁs,,,1589-01-01,1638-01-01,49
http://www.wikidata.org/entity/Q61127,קסם סולטאן@he,he,qsm soltʔn,,אשה רבת השפעה באימפריה האות׳מנית,1589-01-01,1651-09-02,62
http://www.wikidata.org/entity/Q62247,יוהאן קאסימיר@he,he,johʔn qʔsimiʁ,,,1589-04-12,1652-06-08,63
http://www.wikidata.org/entity/Q591681,גאבור באטורי@he,he,ɡʔbor bʔtori,,שליט טרנסילבניה,1589-08-15,1613-10-27,24
http://www.wikidata.org/entity/Q93757,"מריה מגדלנה, ארכידוכסית אוסטריה@he",he,mria mɡdlnh ʔʁχidoχsit aostria,,,1589-10-07,1631-11-01,42
http://www.wikidata.org/entity/Q15149304,ז'אק ואבן@he,he,zʔk vʔvn,,צייר הולנדי,1590-01-01,1634-01-01,44
http://www.wikidata.org/entity/Q16859731,אליאס לגרדה@he,he,ʔliʔs lɡʁda,,יהודי באמריקה הקולוניאלית,1590-01-01,1620-01-01,30
http://www.wikidata.org/entity/Q2682717,מאה-פירוז חדיג'ה סולטאן@he,he,mʔhfiʁoz ħdiɡa soltʔn,,,1590-01-01,1620-01-01,30
http://www.wikidata.org/entity/Q3775720,ויליאם בראון@he,he,viliʔm braon,,,1590-01-01,1645-01-01,55
http://www.wikidata.org/entity/Q504538,ז'אן בודואה@he,he,zʔn bodoʔa,,סופר צרפתי,1590-01-01,1650-01-01,60
http://www.wikidata.org/entity/Q592030,גריגורה אורקה@he,he,ɡʁiɡoʁa aorka,,כרוניקאי מולדובני,1590-01-01,1647-01-01,57
http://www.wikidata.org/entity/Q6171839,ז'אנט עבדי@he,he,zʔnt ʕvdi,,,1590-01-01,1601-01-01,11
