,id,title,var_entries,langs,appellation,acronym,qualifier,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba,name_parts
1361,1361,saamvayl a. maargaalyn,"[{'var': 'saamvayl a. maargaalyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,סאַמוּאיל,א.,,מאַרגאָלין,,,"{""name_part_0"": ""saamvayl"", ""name_part_1"": ""a."", ""name_part_2"": ""maargaalyn""}"
1362,1362,klaaraa (blyykhmaan) maargaalyn,"[{'var': 'klaaraa (blyykhmaan) maargaalyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,בלייכמאַן,,,,,,קלאַראַ,,,מאַרגאָלין,,,"{""name_part_0"": ""klaaraa"", ""name_part_1"": ""(blyykhmaan)"", ""name_part_2"": ""maargaalyn""}"
1363,1363,`dvvaard (ykvtyal) maargaalys,"[{'var': '`dvvaard (ykvtyal) maargaalys', 'src': 'ds', 'lang': 'en'}]",['en'],,,,יקותיאל,,,,,,עדוואַרד,,,מאַרגאָליס,,,"{""name_part_0"": ""`dvvaard"", ""name_part_1"": ""(ykvtyal)"", ""name_part_2"": ""maargaalys""}"
1364,1364,raazaa (ryyzl gaaldb`rg) maargvl`s,"[{'var': 'raazaa (ryyzl gaaldb`rg) maargvl`s', 'src': 'ds', 'lang': 'en'}]",['en'],,,,רייזל,,,גאָלדבּערג,,,ראָזאַ,,,מאַרגוּלעס,,,"{""name_part_0"": ""raazaa"", ""name_part_1"": ""(ryyzl"", ""name_part_2"": ""gaaldb`rg)"", ""name_part_3"": ""maargvl`s""}"
1365,1365,(tsvv`rlyng-kvp`rshmydt),"[{'var': '(tsvv`rlyng-kvp`rshmydt)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,צווערלינג-קוּפּערשמידט,,,"{""name_part_0"": ""(tsvv`rlyng-kvp`rshmydt)""}"
1366,1366,shmval maarvvyl,"[{'var': 'shmval maarvvyl', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,שמואל,,,מאַרוויל,,,"{""name_part_0"": ""shmval"", ""name_part_1"": ""maarvvyl""}"
1367,1367,maarys (?),"[{'var': 'maarys (?)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,מאָריס,,,,מאָריס,,"{""name_part_0"": ""maarys"", ""name_part_1"": ""(?)""}"
1368,1368,s`m (shmval-mshh gaanz) maarys,"[{'var': 's`m (shmval-mshh gaanz) maarys', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,שמוּאל-משה,,,מאָריס,סעם,,"{""name_part_0"": ""s`m"", ""name_part_1"": ""(shmval-mshh"", ""name_part_2"": ""gaanz)"", ""name_part_3"": ""maarys""}"
1369,1369,maaryts (mshh kaahn) maarysaan,"[{'var': 'maaryts (mshh kaahn) maarysaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מאָריץ,,,,,,משה,,קוהן,מאָריסאָן,,,"{""name_part_0"": ""maaryts"", ""name_part_1"": ""(mshh"", ""name_part_2"": ""kaahn)"", ""name_part_3"": ""maarysaan""}"
1370,1370,maaks maary`nhaap,"[{'var': 'maaks maary`nhaap', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,מאַקס,,,מאַריענהאָף,מאַקס מאַריענהאָף,,"{""name_part_0"": ""maaks"", ""name_part_1"": ""maary`nhaap""}"
1371,1371,maary`nshtraas (?),"[{'var': 'maary`nshtraas (?)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,מאַריענשטראָס,,,"{""name_part_0"": ""maary`nshtraas"", ""name_part_1"": ""(?)""}"
1372,1372,yshral markh`vvka,"[{'var': 'yshral markh`vvka', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,ישראל,,,מארכעווקא,,,"{""name_part_0"": ""yshral"", ""name_part_1"": ""markh`vvka""}"
1373,1373,grysha maarmaa,"[{'var': 'grysha maarmaa', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,גרישא,,,מאַרמאָ,,,"{""name_part_0"": ""grysha"", ""name_part_1"": ""maarmaa""}"
1374,1374,abrhm (mnkr) maar`vvsky,"[{'var': 'abrhm (mnkr) maar`vvsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מנקר,,,,,,אברהם,,,מאַרעווסקי,,,"{""name_part_0"": ""abrhm"", ""name_part_1"": ""(mnkr)"", ""name_part_2"": ""maar`vvsky""}"
1375,1375,pylyp maark,"[{'var': 'pylyp maark', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,פיליפּ,,,מאַרק,פיליפּ מאַרק,,"{""name_part_0"": ""pylyp"", ""name_part_1"": ""maark""}"
1376,1376,a. maarkaavv,"[{'var': 'a. maarkaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,א.,,,,,,,,,,,מאַרקוּוו,,,"{""name_part_0"": ""a."", ""name_part_1"": ""maarkaavv""}"
1377,1377,yvsp maarkaavvytsh,"[{'var': 'yvsp maarkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,יוסף,,,מאַרקוויטש,,,"{""name_part_0"": ""yvsp"", ""name_part_1"": ""maarkaavvytsh""}"
1378,1378,mshh maarkaavvytsh,"[{'var': 'mshh maarkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,משה,,,מאַרקואויטש,,,"{""name_part_0"": ""mshh"", ""name_part_1"": ""maarkaavvytsh""}"
1379,1379,lvay maarkaavvytsh,"[{'var': 'lvay maarkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,לואי,,,מאַרקוויטש,,,"{""name_part_0"": ""lvay"", ""name_part_1"": ""maarkaavvytsh""}"
1380,1380,p`r`ts maarkysh,"[{'var': 'p`r`ts maarkysh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,פּערעץ,,,מאַרקיש,פּערעץ מאַרקיש,,"{""name_part_0"": ""p`r`ts"", ""name_part_1"": ""maarkysh""}"
1381,1381,tsyl` marks,"[{'var': 'tsyl` marks', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,צילע,,,מארקס,צילע מארקס,,"{""name_part_0"": ""tsyl`"", ""name_part_1"": ""marks""}"
1382,1382,rvdalp (radkynsan) marks,"[{'var': 'rvdalp (radkynsan) marks', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ראדקינסאן,,,,,,רודאלף,,,מארקס,,,"{""name_part_0"": ""rvdalp"", ""name_part_1"": ""(radkynsan)"", ""name_part_2"": ""marks""}"
1383,1383,dnyal marshak,"[{'var': 'dnyal marshak', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,דניאל,,,מארשאק,,,"{""name_part_0"": ""dnyal"", ""name_part_1"": ""marshak""}"
1384,1384,aytsh`-mayr maashkaavvytsh,"[{'var': 'aytsh`-mayr maashkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,מאָשקאָוויטש,איטשע-מאיר,,"{""name_part_0"": ""aytsh`-mayr"", ""name_part_1"": ""maashkaavvytsh""}"
1385,1385,maaks maashkaavvytsh,"[{'var': 'maaks maashkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,מאַקס,,,מאָשקאָוויטש,,,"{""name_part_0"": ""maaks"", ""name_part_1"": ""maashkaavvytsh""}"
1386,1386,maarys maashkaavvytsh,"[{'var': 'maarys maashkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,מאָריס,,,מאָשקאָוויטש,מאָריס מאָשקאָוויטש,,"{""name_part_0"": ""maarys"", ""name_part_1"": ""maashkaavvytsh""}"
1387,1387,mshh maashkaavvytsh,"[{'var': 'mshh maashkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,משה,,,מאָשקאָוויטש,,,"{""name_part_0"": ""mshh"", ""name_part_1"": ""maashkaavvytsh""}"
