id,title,name_parts,lang,phoneme,name_part_given-name,name_part_middle-name,name_part_surname,name_part_salutation,name_part_patronymic,name_part_professional-name,name_part_maiden-surname,name_part_nisba,name_part_given-name_phoneme,name_part_middle-name_phoneme,name_part_surname_phoneme,name_part_salutation_phoneme,name_part_patronymic_phoneme,name_part_professional-name_phoneme,name_part_maiden-surname_phoneme,name_part_nisba_phoneme,name_part_alternative-name,name_part_alternative-name_phoneme,name_part_qualifier,name_part_honorific,name_part_qualifier_phoneme,name_part_honorific_phoneme,primary-name,matronymic,teknonym,professional-name,surname,acronym,appellation,nisba,salutation,middle-name,alternative-name,patronymic,honorific,qualifier,given-name,maiden-surname
18,david abrams,"{""given-name"": ""david"", ""surname"": ""abrams""}",en,dævɪd əbɻæmz,david,,abrams,,,,,,dævɪd,,əbɻæmz,,,,,,,,,,,,,,,,Abrams,,,,,,,,,,David,
19,g. abramski,"{""given-name"": ""g."", ""surname"": ""abramski""}",en,d|ʒiː əbɻˈeɪmskiː,g.,,abramski,,,,,,d|ʒiː,,əbɻˈeɪmskiː,,,,,,,,,,,,,,,,Abramski,,,,,,,,,,G.,
20,ivan abramson,"{""given-name"": ""ivan"", ""surname"": ""abramson""}",en,ˈaɪvən əbɻæmzən,ivan,,abramson,,,,,,ˈaɪvən,,əbɻæmzən,,,,,,,,,,,,,,,,Abramson,,,,,,,,,,Ivan,
21,joseph achron,"{""given-name"": ""joseph"", ""surname"": ""achron""}",en,dʒˈəʊzf ˈækɻən,joseph,,achron,,,,,,dʒˈəʊzf,,ˈækɻən,,,,,,,,,,,,,,,,Achron,,,,,,,,,,Joseph,
22,moshe yakov adershleger,"{""given-name"": ""moshe"", ""middle-name"": ""yakov"", ""surname"": ""adershleger""}",en,mˈɒʃɪ jˈækəʊv ədəʃlɪdʒəɜ˞,moshe,yakov,adershleger,,,,,,mˈɒʃɪ,jˈækəʊv,ədəʃlɪdʒəɜ˞,,,,,,,,,,,,,,,,Adershleger,,,,,Yakov,,,,,Moshe,
23,amelia adler,"{""given-name"": ""amelia"", ""surname"": ""adler""}",en,əmˈiːljə ˈædləɜ˞,amelia,,adler,,,,,,əmˈiːljə,,ˈædləɜ˞,,,,,,,,,,,,,,,,Adler,,,,,,,,,,Amelia,
24,benny adler,"{""given-name"": ""benny"", ""surname"": ""adler""}",en,bˈɛnɪ ˈædləɜ˞,benny,,adler,,,,,,bˈɛnɪ,,ˈædləɜ˞,,,,,,,,,,,,,,,,Adler,,,,,,,,,,Benny,
25,celia adler,"{""given-name"": ""celia"", ""surname"": ""adler""}",en,sɛlɪə ˈædləɜ˞,celia,,adler,,,,,,sɛlɪə,,ˈædləɜ˞,,,,,,,,,,,,,,,,Adler,,,,,,,,,,Celia,
26,esther adler,"{""given-name"": ""esther"", ""surname"": ""adler""}",en,ɪsθəɜ˞ ˈædləɜ˞,esther,,adler,,,,,,ɪsθəɜ˞,,ˈædləɜ˞,,,,,,,,,,,,,,,,Adler,,,,,,,,,,Esther,
27,frances adler,"{""given-name"": ""frances"", ""surname"": ""adler""}",en,fɻənsɪz ˈædləɜ˞,frances,,adler,,,,,,fɻənsɪz,,ˈædləɜ˞,,,,,,,,,,,,,,,,Adler,,,,,,,,,,Frances,
28,hyman adler,"{""given-name"": ""hyman"", ""surname"": ""adler""}",en,hɪmən ˈædləɜ˞,hyman,,adler,,,,,,hɪmən,,ˈædləɜ˞,,,,,,,,,,,,,,,,Adler,,,,,,,,,,Hyman,
29,israel adler,"{""given-name"": ""israel"", ""surname"": ""adler""}",en,ˈɪzreɪl ˈædləɜ˞,israel,,adler,,,,,,ˈɪzreɪl,,ˈædləɜ˞,,,,,,,,,,,,,,,,Adler,,,,,,,,,,Israel,
30,jacob p. adler,"{""given-name"": ""jacob"", ""middle-name"": ""p."", ""surname"": ""adler""}",en,dʒˈækɒb p ˈædləɜ˞,jacob,p.,adler,,,,,,dʒˈækɒb,p,ˈædləɜ˞,,,,,,,,,,,,,,,,Adler,,,,,P.,,,,,Jacob,
