id,title,var_entries,langs,appellation,acronym,qualifier,maiden-surname,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba
426,moshe dluznowsky,"[{'var': 'moshe dluznowsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Moshe,,,Dluznowsky,,
427,yekhezkel dobrushin,"[{'var': 'yekhezkel dobrushin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yekhezkel,,,Dobrushin,,
428,rubin doctor,"[{'var': 'rubin doctor', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,Doctor,,Rubin,,,,,
429,yitskhok dogim,"[{'var': 'yitskhok dogim', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yitskhok,,,Dogim,,
430,b. doktorov,"[{'var': 'b. doktorov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,B.,,,Doktorov,,
431,leah dolinger,"[{'var': 'leah dolinger', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leah,,,Dolinger,,
432,menachem mendel dolitzky,"[{'var': 'menachem mendel dolitzky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Menachem,Mendel,,Dolitzky,,
433,abe dorf,"[{'var': 'abe dorf', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Abe,,,Dorf,,
434,elza dorf,"[{'var': 'elza dorf', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Elza,,,Dorf,,
435,ethel dorf,"[{'var': 'ethel dorf', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ethel,,,Dorf,,
436,morris dorf,"[{'var': 'morris dorf', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Morris,,,Dorf,,
437,s.y. dorfzon,"[{'var': 's.y. dorfzon', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,S.Y.,,,Dorfzon,,
438,zechariah-avraham doyber,"[{'var': 'zechariah-avraham doyber', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Zechariah-Avraham,,,Doyber,,
439,joseph drabkin,"[{'var': 'joseph drabkin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Joseph,,,Drabkin,,
440,m. dranov,"[{'var': 'm. dranov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,M.,,,Dranov,,
441,nathan dranov,"[{'var': 'nathan dranov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Nathan,,,Dranov,,
442,nadya dranova,"[{'var': 'nadya dranova', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Nadya,,,Dranova,,
443,paula dreiblatt,"[{'var': 'paula dreiblatt', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Paula,,,Dreiblatt,,
444,leon dreykurs,"[{'var': 'leon dreykurs', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leon,,,Dreykurs,,
445,jennie dreyzin,"[{'var': 'jennie dreyzin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Jennie,,,Dreyzin,,
446,ema dreyzina,"[{'var': 'ema dreyzina', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ema,,,Dreyzina,,
447,h. drimer,"[{'var': 'h. drimer', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,Dr.,,,,H.,,,Drimer,,
448,? drozdovitsh,"[{'var': '? drozdovitsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,?,,,Drozdovitsh,,
449,leib drucker,"[{'var': 'leib drucker', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leib,,,Drucker,,
450,dora dubinska,"[{'var': 'dora dubinska', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Dora,,,Dubinska,,
451,yakovke dubinski,"[{'var': 'yakovke dubinski', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yakovke,,,Dubinski,,
452,reuben dubinsky,"[{'var': 'reuben dubinsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Reuben,,,Dubinsky,,
453,yudel dubinsky,"[{'var': 'yudel dubinsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yudel,,,Dubinsky,,
454,hillel dubrovinsky,"[{'var': 'hillel dubrovinsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Hillel,,,Dubrovinsky,,
455,manya dulitskaya,"[{'var': 'manya dulitskaya', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Manya,,,Dulitskaya,,
456,wolf durmashkin,"[{'var': 'wolf durmashkin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Wolf,,,Durmashkin,,
457,leon dushman,"[{'var': 'leon dushman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leon,,,Dushman,,
458,osip dymow,"[{'var': 'osip dymow', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Osip,,,Dymow,,
459,shlomo edelheit,"[{'var': 'shlomo edelheit', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shlomo,,,Edelheit,,
460,moritz edelhofer,"[{'var': 'moritz edelhofer', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Moritz,,,Edelhofer,,
461,israel edelman,"[{'var': 'israel edelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Israel,,,Edelman,,
462,larissa edelman,"[{'var': 'larissa edelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Larissa,,,Edelman,,
463,sonia edelman,"[{'var': 'sonia edelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sonia,,,Edelman,,
464,wolf edelman,"[{'var': 'wolf edelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Wolf,,,Edelman,,
465,nyunye edelman-klebanova,"[{'var': 'nyunye edelman-klebanova', 'src': 'ds', 'lang': 'en'}]",['en'],,,,Edelman,,,,,,,Nyunye,,,Klebanova,,
466,joseph edelstein,"[{'var': 'joseph edelstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Joseph,,,Edelstein,,
467,pauline edelstein,"[{'var': 'pauline edelstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Pauline,,,Edelstein,,
468,william edlin,"[{'var': 'william edlin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,William,,,Edlin,,
469,tenakhum edut,"[{'var': 'tenakhum edut', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Tenakhum,,,Edut,,
470,chaim ehrenreich,"[{'var': 'chaim ehrenreich', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Chaim,,,Ehrenreich,,
471,hirsh ehrenreich,"[{'var': 'hirsh ehrenreich', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Hirsh,,,Ehrenreich,,
472,mordechai ehrlich,"[{'var': 'mordechai ehrlich', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mordechai,,,Ehrlich,,
473,zigmund ehrlich,"[{'var': 'zigmund ehrlich', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Zigmund,,,Ehrlich,,
474,ehrlich,"[{'var': 'ehrlich', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,Ehrlich,,
475,avraham eines,"[{'var': 'avraham eines', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avraham,,,Eines,,
476,aaron einhorn,"[{'var': 'aaron einhorn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Aaron,,,Einhorn,,
477,lisa einhorn,"[{'var': 'lisa einhorn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Lisa,,,Einhorn,,
478,avraham eisen,"[{'var': 'avraham eisen', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avraham,,,Eisen,,
479,lyuba eisenberg,"[{'var': 'lyuba eisenberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Lyuba,,,Eisenberg,,
480,meir eisenberg,"[{'var': 'meir eisenberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Meir,,,Eisenberg,,
481,eva eisen-orenstein,"[{'var': 'eva eisen-orenstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Eva,,,Eisen-Orenstein,,
482,alter eisenschloss,"[{'var': 'alter eisenschloss', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Alter,,,Eisenschloss,,
483,reuben eisland,"[{'var': 'reuben eisland', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Reuben,,,Eisland,,
484,goldie eisman,"[{'var': 'goldie eisman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Goldie,,,Eisman,,
485,isidore eksler,"[{'var': 'isidore eksler', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Isidore,,,Eksler,,
486,moshe elbaum,"[{'var': 'moshe elbaum', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Moshe,,,Elbaum,,
487,isidore elgard,"[{'var': 'isidore elgard', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Isidore,,,Elgard,,
488,manye elgard,"[{'var': 'manye elgard', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Manye,,,Elgard,,
489,miriam elias,"[{'var': 'miriam elias', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Miriam,,,Elias,,
490,alexander eliasberg,"[{'var': 'alexander eliasberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Alexander,,,Eliasberg,,
491,fernanda eliscu,"[{'var': 'fernanda eliscu', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Fernanda,,,Eliscu,,
492,elisheva,"[{'var': 'elisheva', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Elisheva,,,,,
493,mendl elkin,"[{'var': 'mendl elkin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mendl,,,Elkin,,
494,abraham ellstein,"[{'var': 'abraham ellstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Abraham,,,Ellstein,,
495,mischa elman,"[{'var': 'mischa elman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mischa,,,Elman,,
496,bernard elving,"[{'var': 'bernard elving', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Bernard,,,Elving,,
497,rose elving,"[{'var': 'rose elving', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rose,,,Elving,,
498,enden,"[{'var': 'enden', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Enden,,,,,
499,lutsa engelberg,"[{'var': 'lutsa engelberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Lutsa,,,Engelberg,,
500,joel entin,"[{'var': 'joel entin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Joel,,,Entin,,
501,heshl epelberg,"[{'var': 'heshl epelberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Heshl,,,Epelberg,,
502,b. eppelbaum,"[{'var': 'b. eppelbaum', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,B.,,,Eppelbaum,,
503,alter epstein,"[{'var': 'alter epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Alter,,,Epstein,,
504,benjamin epstein,"[{'var': 'benjamin epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Benjamin,,,Epstein,,
505,fannie vadya epstein,"[{'var': 'fannie vadya epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Fannie,Vadya,,Epstein,,
506,grisha epstein,"[{'var': 'grisha epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Grisha,,,Epstein,,
507,hillel leyb epstein,"[{'var': 'hillel leyb epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Hillel,Leyb,,Epstein,,
508,m. epstein,"[{'var': 'm. epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,M.,,,Epstein,,
509,m.b. epstein,"[{'var': 'm.b. epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,M.,B.,,Epstein,,
510,mark epstein,"[{'var': 'mark epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mark,,,Epstein,,
511,shakhne epstein,"[{'var': 'shakhne epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shakhne,,,Epstein,,
512,wiliam epstein,"[{'var': 'wiliam epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Wiliam,,,Epstein,,
513,zhenya epstein,"[{'var': 'zhenya epstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Zhenya,,,Epstein,,
514,adolph erber,"[{'var': 'adolph erber', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Adolph,,,Erber,,
515,annie erber,"[{'var': 'annie erber', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Annie,,,Erber,,
516,julius erber,"[{'var': 'julius erber', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Julius,,,Erber,,
517,shimshon erdberg,"[{'var': 'shimshon erdberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shimshon,,,Erdberg,,
518,sofia erdi,"[{'var': 'sofia erdi', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sofia,,,Erdi,,
519,max erik,"[{'var': 'max erik', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Max,Erik,,,,
520,shimeon ernst,"[{'var': 'shimeon ernst', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shimeon,,,Ernst,,
521,yozef eskreyz,"[{'var': 'yozef eskreyz', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yozef,,,Eskreyz,,
522,slava estrin,"[{'var': 'slava estrin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Slava,,,Estrin,,
523,sarah ettinger,"[{'var': 'sarah ettinger', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sarah,,,Ettinger,,
524,shlomo ettinger,"[{'var': 'shlomo ettinger', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shlomo,,,Ettinger,,
525,yosef ettinger,"[{'var': 'yosef ettinger', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yosef,,,Ettinger,,
526,eygenfeld,"[{'var': 'eygenfeld', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,Eygenfeld,,
527,yitskhok eykhl,"[{'var': 'yitskhok eykhl', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yitskhok,,,Eykhl,,
528,bashe eynhorn,"[{'var': 'bashe eynhorn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Bashe,,,Eynhorn,,
529,david eynhorn,"[{'var': 'david eynhorn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,David,,,Eynhorn,,
530,aaron eyzenberg,"[{'var': 'aaron eyzenberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Aaron,,,Eyzenberg,,
531,avraham eyzenberg,"[{'var': 'avraham eyzenberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avraham,,,Eyzenberg,,
532,avrom eyzenberg,"[{'var': 'avrom eyzenberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avrom,,,Eyzenberg,,
533,meir eyzenberg,"[{'var': 'meir eyzenberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Meir,,,Eyzenberg,,
534,shlomo eyzenshtark,"[{'var': 'shlomo eyzenshtark', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shlomo,,,Eyzenshtark,,
535,mordechai eyzenshtat,"[{'var': 'mordechai eyzenshtat', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mordechai,,,Eyzenshtat,,
536,nechama eyzenshtat,"[{'var': 'nechama eyzenshtat', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Nechama,,,Eyzenshtat,,
537,leibl eyzerman,"[{'var': 'leibl eyzerman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leibl,,,Eyzerman,,
538,ezer marshelik,"[{'var': 'ezer marshelik', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ezer,,,Marshelik,,
539,david fachler,"[{'var': 'david fachler', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,David,,,Fachler,,
540,rosa fachler,"[{'var': 'rosa fachler', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rosa,,,Fachler,,
541,hersh fagin,"[{'var': 'hersh fagin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Hersh,,,Fagin,,
542,robert falk,"[{'var': 'robert falk', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Robert,,,Falk,,
543,joel berish falkowitz,"[{'var': 'joel berish falkowitz', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Joel,Berish,,Falkowitz,,
544,jacob faller,"[{'var': 'jacob faller', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Jacob,,,Faller,,
545,alexander farbo,"[{'var': 'alexander farbo', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Alexander,,,Farbo,,
546,eliezer favir,"[{'var': 'eliezer favir', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Eliezer,,,Favir,,
547,ayzik feder,"[{'var': 'ayzik feder', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ayzik,,,Feder,,
548,moshe feder,"[{'var': 'moshe feder', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Moshe,,,Feder,,
549,rachel feigenberg,"[{'var': 'rachel feigenberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rachel,,,Feigenberg,,
550,yehoshua feil,"[{'var': 'yehoshua feil', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yehoshua,,,Feil,,
551,dora fein,"[{'var': 'dora fein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Dora,,,Fein,,
552,ida fein,"[{'var': 'ida fein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ida,,,Fein,,
553,harris feinberg,"[{'var': 'harris feinberg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Harris,,,Feinberg,,
554,lili feinman,"[{'var': 'lili feinman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Lili,,,Feinman,,
555,sigmund feinman,"[{'var': 'sigmund feinman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sigmund,,,Feinman,,
556,harry feld,"[{'var': 'harry feld', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Harry,,,Feld,,
557,aaron feldman,"[{'var': 'aaron feldman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Aaron,,,Feldman,,
558,feldman,"[{'var': 'feldman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,Feldman,,
559,adolf fenigstein,"[{'var': 'adolf fenigstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Adolf,,,Fenigstein,,
560,ignats ferkauf,"[{'var': 'ignats ferkauf', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ignats,,,Ferkauf,,
561,sam ferkauf,"[{'var': 'sam ferkauf', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sam,,,Ferkauf,,
562,shimshon fersht,"[{'var': 'shimshon fersht', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shimshon,,,Fersht,,
563,asher feyershteyn,"[{'var': 'asher feyershteyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Asher,,,Feyershteyn,,
564,leybe feyvishov,"[{'var': 'leybe feyvishov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leybe,,,Feyvishov,,
565,sore fibich,"[{'var': 'sore fibich', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sore,,,Fibich,,
566,moshe fidel,"[{'var': 'moshe fidel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Moshe,,,Fidel,,
567,fidelman,"[{'var': 'fidelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,Fidelman,,
568,herman fiedler,"[{'var': 'herman fiedler', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Herman,,,Fiedler,,
569,esther field,"[{'var': 'esther field', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Esther,,,Field,,
570,shmuel filib,"[{'var': 'shmuel filib', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shmuel,,,Filib,,
571,friedrich filipesko,"[{'var': 'friedrich filipesko', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Friedrich,,,Filipesko,,
572,filipesko,"[{'var': 'filipesko', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,Filipesko,,
573,janet filipesko,"[{'var': 'janet filipesko', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Janet,,,Filipesko,,
574,filop,"[{'var': 'filop', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Filop,,,,,
575,aneta finkel,"[{'var': 'aneta finkel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Aneta,,,Finkel,,
576,bella finkel,"[{'var': 'bella finkel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Bella,,,Finkel,,
577,eliezer dovid finkel,"[{'var': 'eliezer dovid finkel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Eliezer,Dovid,,Finkel,,
578,lucy finkel,"[{'var': 'lucy finkel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Lucy,,,Finkel,,
579,finkel. meir,"[{'var': 'finkel. meir', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Meir,,,Finkel,,
580,jakob fischer,"[{'var': 'jakob fischer', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Jakob,,,Fischer,,
581,benjamin fishbein,"[{'var': 'benjamin fishbein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Benjamin,,,Fishbein,,
582,yitskhok fishelewitz,"[{'var': 'yitskhok fishelewitz', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yitskhok,,,Fishelewitz,,
583,efrayim fishl fishelzon,"[{'var': 'efrayim fishl fishelzon', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Efrayim,Fishl,,Fishelzon,,
584,avrom-leyzer fisher,"[{'var': 'avrom-leyzer fisher', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avrom-Leyzer,,,Fisher,,
585,herman fisher,"[{'var': 'herman fisher', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Herman,,,Fisher,,
586,khaye fisher,"[{'var': 'khaye fisher', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Khaye,,,Fisher,,
587,luba fisher,"[{'var': 'luba fisher', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Luba,,,Fisher,,
588,samuel fisher,"[{'var': 'samuel fisher', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Samuel,,,Fisher,,
589,berta fishler,"[{'var': 'berta fishler', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Berta,,,Fishler,,
590,bernard fishman,"[{'var': 'bernard fishman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Bernard,,,Fishman,,
591,harry fishman,"[{'var': 'harry fishman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Harry,,,Fishman,,
592,sylvia fishman,"[{'var': 'sylvia fishman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sylvia,,,Fishman,,
593,yakov fishman,"[{'var': 'yakov fishman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yakov,,,Fishman,,
594,yosef fishman,"[{'var': 'yosef fishman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yosef,,,Fishman,,
595,jacobo flapan,"[{'var': 'jacobo flapan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Jacobo,,,Flapan,,
596,sarah flaum,"[{'var': 'sarah flaum', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sarah,,,Flaum,,
597,manny fleischman,"[{'var': 'manny fleischman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Manny,,,Fleischman,,
598,[?] fleisig,"[{'var': '[?] fleisig', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,?,,,Fleisig,,
599,leah floym,"[{'var': 'leah floym', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leah,,,Floym,,
600,andzha foderman,"[{'var': 'andzha foderman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Andzha,,,Foderman,,
601,l. fogelman,"[{'var': 'l. fogelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,L.,,,Fogelman,,
602,feliks fogelnest,"[{'var': 'feliks fogelnest', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Feliks,,,Fogelnest,,
603,pauline fogelnest,"[{'var': 'pauline fogelnest', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Pauline,,,Fogelnest,,
604,sam fogelnest,"[{'var': 'sam fogelnest', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sam,,,Fogelnest,,
605,foystilnik,"[{'var': 'foystilnik', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,,,
606,abraham frank,"[{'var': 'abraham frank', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Abraham,,,Frank,,
607,bela frank,"[{'var': 'bela frank', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Bela,,,Frank,,
608,chana frank,"[{'var': 'chana frank', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Chana,,,Frank,,
609,ezriel natan frank,"[{'var': 'ezriel natan frank', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ezriel,Natan,,Frank,,
610,jacob frank,"[{'var': 'jacob frank', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Jacob,,,Frank,,
611,nathan frank,"[{'var': 'nathan frank', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Nathan,,,Frank,,
