id,title,var_entries,langs,appellation,acronym,qualifier,maiden-surname,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba
43,meir akselrad,"[{'var': 'meir akselrad', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Meir,,,Akselrad,,
44,leo albertson,"[{'var': 'leo albertson', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leo,,,Albertson,,
45,aaron aleksandrov,"[{'var': 'aaron aleksandrov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Aaron,,,Aleksandrov,,
46,ch. aleksandrov,"[{'var': 'ch. aleksandrov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ch.,,,Aleksandrov,,
47,yehoshua alkan,"[{'var': 'yehoshua alkan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yehoshua,,,Alkan,,
48,shmuel alman,"[{'var': 'shmuel alman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shmuel,,,Alman,,
49,a. almi,"[{'var': 'a. almi', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,A.,,,Almi,,
50,sonia alomis,"[{'var': 'sonia alomis', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sonia,,,Alomis,,
51,sam alony,"[{'var': 'sam alony', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sam,,,Alony,,
52,isak alperovitsh,"[{'var': 'isak alperovitsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Isak,,,Alperovitsh,,
53,sonya altboym,"[{'var': 'sonya altboym', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sonya,,,Altboym,,
54,boris altman,"[{'var': 'boris altman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Boris,,,Altman,,
55,chaim altman,"[{'var': 'chaim altman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Chaim,,,Altman,,
56,morris altman,"[{'var': 'morris altman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Morris,,,Altman,,
57,moshe altman,"[{'var': 'moshe altman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Moshe,,,Altman,,
58,natan altman,"[{'var': 'natan altman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Natan,,,Altman,,
59,leyb altshuler,"[{'var': 'leyb altshuler', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Leyb,,,Altshuler,,
60,alex amasia,"[{'var': 'alex amasia', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Alex,,,Amasia,,
61,hersh amasia,"[{'var': 'hersh amasia', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Hersh,,,Amasia,,
62,peter amatin,"[{'var': 'peter amatin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Peter,,,Amatin,,
63,sonya amatin,"[{'var': 'sonya amatin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sonya,,,Amatin,,
64,golde amzel,"[{'var': 'golde amzel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Golde,,,Amzel,,
65,wolf amzel,"[{'var': 'wolf amzel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Wolf,,,Amzel,,
66,aniela,"[{'var': 'aniela', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Aniela,,,,,
67,harry anisman,"[{'var': 'harry anisman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Harry,,,Anisman,,
68,z.i. ankhi,"[{'var': 'z.i. ankhi', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Z.I.,,,Ankhi,,
69,s. an-ski,"[{'var': 's. an-ski', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,S.,,,An-ski,,
70,isak antsharov,"[{'var': 'isak antsharov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Isak,,,Antsharov,,
71,riva antsipovitsh,"[{'var': 'riva antsipovitsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Riva,,,Antsipovitsh,,
72,david apotheker,"[{'var': 'david apotheker', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,David,,,Apotheker,,
73,anna appel,"[{'var': 'anna appel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Anna,,,Appel,,
74,isadore appel,"[{'var': 'isadore appel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Isadore,,,Appel,,
75,morris appel,"[{'var': 'morris appel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Morris,,,Appel,,
76,misha appelbaum,"[{'var': 'misha appelbaum', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Misha,,,Appelbaum,,
77,rosalia appelbaum,"[{'var': 'rosalia appelbaum', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rosalia,,,Appelbaum,,
78,sofia apteiker,"[{'var': 'sofia apteiker', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sofia,,,Apteiker,,
79,fritzi arco,"[{'var': 'fritzi arco', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Fritzi,,,Arco,,
80,isaac arco,"[{'var': 'isaac arco', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Isaac,,,Arco,,
81,itzhak arco,"[{'var': 'itzhak arco', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Itzhak,,,Arco,,
82,manya arco,"[{'var': 'manya arco', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Manya,,,Arco,,
83,khayim david ariel,"[{'var': 'khayim david ariel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Khayim,David,,Ariel,,
84,rukhl ariel,"[{'var': 'rukhl ariel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rukhl,,,Ariel,,
85,sonia ariel,"[{'var': 'sonia ariel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sonia,,,Ariel,,
86,miriam arnon,"[{'var': 'miriam arnon', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Miriam,,,Arnon,,
87,mark arnstein,"[{'var': 'mark arnstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mark,,,Arnstein,,
88,rose arnstein,"[{'var': 'rose arnstein', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rose,,,Arnstein,,
89,yudes aronchik,"[{'var': 'yudes aronchik', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yudes,,,Aronchik,,
90,feivl arones,"[{'var': 'feivl arones', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Feivl,,,Arones,,
91,herman aronovitsh,"[{'var': 'herman aronovitsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Herman,,,Aronovitsh,,
92,borukh aronson,"[{'var': 'borukh aronson', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Borukh,,,Aronson,,
93,sholem asch,"[{'var': 'sholem asch', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sholem,,,Asch,,
94,izidor aschkenazy,"[{'var': 'izidor aschkenazy', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Izidor,,,Aschkenazy,,
95,avraham ash,"[{'var': 'avraham ash', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avraham,,,Ash,,
96,khayele ash,"[{'var': 'khayele ash', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Khayele,,,Ash,,
97,pola ash-averbuch,"[{'var': 'pola ash-averbuch', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Pola,,,Ash-Averbuch,,
98,mira ashkenazy,"[{'var': 'mira ashkenazy', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mira,,,Ashkenazy,,
99,tsile ashkenazy,"[{'var': 'tsile ashkenazy', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Tsile,,,Ashkenazy,,
100,boruch ass,"[{'var': 'boruch ass', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Boruch,,,Ass,,
101,kh. astrovsky,"[{'var': 'kh. astrovsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Kh.,,,Astrovsky,,
102,jennie atlas,"[{'var': 'jennie atlas', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Jennie,,,Atlas,,
103,boris auerbach,"[{'var': 'boris auerbach', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Boris,,,Auerbach,,
104,ephraim auerbach,"[{'var': 'ephraim auerbach', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ephraim,,,Auerbach,,
105,isaac auerbach,"[{'var': 'isaac auerbach', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Isaac,,,Auerbach,,
106,s. auerbach,"[{'var': 's. auerbach', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,S.,,,Auerbach,,
107,sam auerbach,"[{'var': 'sam auerbach', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sam,,,Auerbach,,
108,annie augenblick,"[{'var': 'annie augenblick', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Annie,,,Augenblick,,
109,philip augenblik,"[{'var': 'philip augenblik', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Philip,,,Augenblik,,
110,nahum auslander,"[{'var': 'nahum auslander', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Nahum,,,Auslander,,
111,eva avakher,"[{'var': 'eva avakher', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Eva,,,Avakher,,
112,max avramovitsh,"[{'var': 'max avramovitsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Max,,,Avramovitsh,,
113,aneta axelrad,"[{'var': 'aneta axelrad', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Aneta,,,Axelrad,,
114,avraham axelrad,"[{'var': 'avraham axelrad', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avraham,,,Axelrad,,
115,minnie axelrad,"[{'var': 'minnie axelrad', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Minnie,,,Axelrad,,
116,morris axelrad,"[{'var': 'morris axelrad', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Morris,,,Axelrad,,
117,rosa axelrad,"[{'var': 'rosa axelrad', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rosa,,,Axelrad,,
118,rukhl axelrad,"[{'var': 'rukhl axelrad', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rukhl,,,Axelrad,,
119,nathan ayzikovitsh,"[{'var': 'nathan ayzikovitsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Nathan,,,Ayzikovitsh,,
120,alexander azro,"[{'var': 'alexander azro', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Alexander,,,Azro,,
121,ba'al makhshoves,"[{'var': ""ba'al makhshoves"", 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,Makhshoves,,Ba'al,,,,,
122,rose shomer bachelis,"[{'var': 'rose shomer bachelis', 'src': 'ds', 'lang': 'en'}]",['en'],,,,Shomer,,,,,,,Rose,,,Bachelis,,
123,ida badanes,"[{'var': 'ida badanes', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ida,,,Badanes,,
124,gershom bader,"[{'var': 'gershom bader', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Gershom,,,Bader,,
125,simcha bader,"[{'var': 'simcha bader', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Simcha,,,Bader,,
126,max badin,"[{'var': 'max badin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Max,,,Badin,,
127,shlomo badkhan,"[{'var': 'shlomo badkhan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Shlomo,,,Badkhan,,
128,badkhan of bober,"[{'var': 'badkhan of bober', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Badkhan,,,,,of Bober
129,badkhan of zembin,"[{'var': 'badkhan of zembin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Badkhan,,,,,of Zembin
130,belle baker,"[{'var': 'belle baker', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Belle,,,Baker,,
131,hirsh balbirski,"[{'var': 'hirsh balbirski', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Hirsh,,,Balbirski,,
132,misha bankov,"[{'var': 'misha bankov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Misha,,,Bankov,,
133,yankev bankov,"[{'var': 'yankev bankov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yankev,,,Bankov,,
134,ben-tsvi baratov,"[{'var': 'ben-tsvi baratov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,Ben-Tsvi,Baratov,,
135,david baratz,"[{'var': 'david baratz', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,David,,,Baratz,,
136,marty baratz,"[{'var': 'marty baratz', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Marty,,,Baratz,,
137,sh. barber,"[{'var': 'sh. barber', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sh.,,,Barber,,
138,joseph barondess,"[{'var': 'joseph barondess', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Joseph,,,Barondess,,
139,avraham barsel,"[{'var': 'avraham barsel', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avraham,,,Barsel,,
140,liza barska-fisher,"[{'var': 'liza barska-fisher', 'src': 'ds', 'lang': 'en'}]",['en'],,,,Barska,,,,,,,Liza,,,Fisher,,
141,israel barski,"[{'var': 'israel barski', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Israel,,,Barski,,
142,wolfe barzell,"[{'var': 'wolfe barzell', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Wolfe,,,Barzell,,
143,ben basenko,"[{'var': 'ben basenko', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ben,,Ben-Basenko,Basenko,,
144,misha basin,"[{'var': 'misha basin', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Misha,,,Basin,,
145,avraham baslavsky,"[{'var': 'avraham baslavsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Avraham,,,Baslavsky,,
146,aaron bastomski,"[{'var': 'aaron bastomski', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Aaron,,,Bastomski,,
147,abraham baum,"[{'var': 'abraham baum', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Abraham,,,Baum,,
148,nachum bazelinski,"[{'var': 'nachum bazelinski', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Nachum,,,Bazelinski,,
149,rosa becker,"[{'var': 'rosa becker', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Rosa,,,Becker,,
150,sasha becker,"[{'var': 'sasha becker', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Sasha,,,Becker,,
151,berish beckerman,"[{'var': 'berish beckerman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Berish,,,Beckerman,,
152,david beigelman,"[{'var': 'david beigelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,David,,,Beigelman,,
