id,title,name_parts,var_entries,langs,nisba,alternative-name,patronymic,surname,middle-name,matronymic,honorific,salutation,primary-name,appellation,professional-name,teknonym,acronym,given-name,qualifier
829,? vvyynshtyyn,"{""surname"": ""vvyynshtyyn""}","[{'var': '? vvyynshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,וויינשטיין,,,,,,,,,,,
830,ayt` vvyynshtyyn,"{""given-name"": ""ayt`"", ""surname"": ""vvyynshtyyn""}","[{'var': 'ayt` vvyynshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,וויינשטיין,,,,,,,,,,איטע,
831,b`rnaard vvyynshtyyn,"{""given-name"": ""b`rnaard"", ""surname"": ""vvyynshtyyn""}","[{'var': 'b`rnaard vvyynshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,וויינשטיין,,,,,,,,,,בערנאַרד,
832,brvkh vvyynsh`l,"{""primary-name"": ""brvkh vvyynsh`l"", ""given-name"": ""brvkh"", ""surname"": ""vvyynsh`l""}","[{'var': 'brvkh vvyynsh`l', 'src': 'ds', 'lang': 'en'}]",['en'],,,,וויינשעל,,,,,ברוך וויינשעל,,,,,ברוך,
833,dzshaav (yvsp-lyyb) vvyys,"{""given-name"": ""yvsp-lyyb"", ""alternative-name"": ""dzshaav"", ""surname"": ""vvyys""}","[{'var': 'dzshaav (yvsp-lyyb) vvyys', 'src': 'ds', 'lang': 'en'}]",['en'],,דזשאָו,,ווייס,,,,,,,,,,יוסף-לייב,
834,lvays (lvy) vvyys,"{""given-name"": ""lvays"", ""alternative-name"": ""lvy"", ""surname"": ""vvyys""}","[{'var': 'lvays (lvy) vvyys', 'src': 'ds', 'lang': 'en'}]",['en'],,לוי,,ווייס,,,,,,,,,,לואיס,
835,maars`laa (l`vvyn) vvyys,"{""given-name"": ""maars`laa"", ""alternative-name"": ""l`vvyn"", ""surname"": ""vvyys""}","[{'var': 'maars`laa (l`vvyn) vvyys', 'src': 'ds', 'lang': 'en'}]",['en'],,לעווין,,ווייס,,,,,,,,,,מאַרסעלאַ,
836,`nrykaa vvyys,"{""primary-name"": ""`nrykaa vvyys"", ""given-name"": ""`nrykaa"", ""surname"": ""vvyys""}","[{'var': '`nrykaa vvyys', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייס,,,,,ענריקאָ ווייס,,,,,ענריקאָ,
837,pavlynaa vvyys,"{""given-name"": ""pavlynaa"", ""surname"": ""vvyys""}","[{'var': 'pavlynaa vvyys', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייס,,,,,,,,,,פּאולינאַ,
838,hyym vvyysbyyn,"{""given-name"": ""hyym"", ""surname"": ""vvyysbyyn""}","[{'var': 'hyym vvyysbyyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסבּיין,,,,,,,,,,חיים,
839,lvays vvyysb`rg,"{""primary-name"": ""vvyysb`rg"", ""given-name"": ""lvays"", ""surname"": ""vvyysb`rg""}","[{'var': 'lvays vvyysb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסבּערג,,,,,ווייסבּערג,,,,,לואיס,
840,s`m vvyysb`rg,"{""primary-name"": ""s`m vvyysb`rg"", ""surname"": ""vvyysb`rg""}","[{'var': 's`m vvyysb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסבּערג,,,,,סעם ווייסבּערג,,,,,,
841,pyyvvl vvyysb`rg,"{""given-name"": ""pyyvvl"", ""surname"": ""vvyysb`rg""}","[{'var': 'pyyvvl vvyysb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסבּערג,,,,,,,,,,פייוול,
842,abrhm-y`kb vvyyslyts,{},"[{'var': 'abrhm-y`kb vvyyslyts', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,,
843,yvkhbd (praavvyzaar) vvyyslyts,"{""given-name"": ""yvkhbd"", ""alternative-name"": ""praavvyzaar"", ""surname"": ""vvyyslyts""}","[{'var': 'yvkhbd (praavvyzaar) vvyyslyts', 'src': 'ds', 'lang': 'en'}]",['en'],,פּראָוויזאָר,,ווייסליץ,,,,,,,,,,יוכבד,
844,ahrn vvyysmaan,"{""given-name"": ""ahrn"", ""surname"": ""vvyysmaan""}","[{'var': 'ahrn vvyysmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסמאַן,,,,,,,,,,אהרן,
845,b`sy vvyysmaan,"{""primary-name"": ""b`sy vvyysmaan"", ""given-name"": ""b`sy"", ""surname"": ""vvyysmaan""}","[{'var': 'b`sy vvyysmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסמאַן,,,,,בּעסי ווייסמאַן,,,,,בּעסי,
846,b`rnaardaa vvyysmaan,"{""primary-name"": ""vvyysmaan"", ""given-name"": ""b`rnaardaa"", ""surname"": ""vvyysmaan""}","[{'var': 'b`rnaardaa vvyysmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסמאַן,,,,,ווייסמאַן,,,,,בּערנאַרדאָ,
