id,title,name_parts,var_entries,langs,nisba,alternative-name,patronymic,surname,middle-name,matronymic,honorific,salutation,primary-name,appellation,professional-name,teknonym,acronym,given-name,qualifier
0,aabbdvl,"{""primary-name"": ""aabdvl""}","[{'var': 'aabbdvl', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,אַבּדול,,,,,,
1,b`ny (brvkh-mshh) ab`lmaan,"{""given-name"": ""brvkh-mshh"", ""alternative-name"": ""b`ny"", ""surname"": ""ab`lmaan""}","[{'var': 'b`ny (brvkh-mshh) ab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,בּעני,,אבּעלמאַן,,,,,,,,,,ברוך-משה,
2,tsyp` (tspvrh) aab`lmaan,"{""primary-name"": ""tsyp`"", ""alternative-name"": ""tsypvrh"", ""surname"": ""aab`lmaan""}","[{'var': 'tsyp` (tspvrh) aab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,ציפּורה,,אַבּעלמאַן,,,,,ציפע,,,,,,
3,bn-tsyvn ab`lsaan,"{""given-name"": ""tsyvn"", ""surname"": ""ab`lsaan"", ""patronymic"": ""bn""}","[{'var': 'bn-tsyvn ab`lsaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,בן,אבּעלסאָן,,,,,,,,,,ציון,
4,aadaalp aab`rb`rg,"{""given-name"": ""aadaalp"", ""surname"": ""aab`rb`rg""}","[{'var': 'aadaalp aab`rb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּערבּערג,,,,,,,,,,אַדאָלף,
5,aal`ksaad`r aab`rl`nd`r,"{""given-name"": ""aal`ksaad`r"", ""surname"": ""aab`rl`nd`r""}","[{'var': 'aal`ksaad`r aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּערלענדער,,,,,,,,,,אַלעקסאַדער,
6,yaaz`p ab`rl`nd`r,"{""given-name"": ""yyz`p"", ""surname"": ""ab`rl`nd`r""}","[{'var': 'yaaz`p ab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אבּערלענדער,,,,,,,,,,ייזעף,
7,saapy` aab`rl`nd`r,"{""given-name"": ""saapyh"", ""surname"": ""aab`rl`nd`r""}","[{'var': 'saapy` aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אָבּערלענדער,,,,,,,,,,סאָפיה,
8,ytshk (haab`r) aab`rmaan,"{""given-name"": ""ytshk"", ""alternative-name"": ""haab`r"", ""surname"": ""aab`rman""}","[{'var': 'ytshk (haab`r) aab`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,האַבּער,,אַבּערמאן,,,,,,,,,,יצחק,
9,yda (p`lt`nshtyyn) aabraagaam,"{""given-name"": ""yda"", ""alternative-name"": ""p`lt`nshtyyn"", ""surname"": ""aabraagaam""}","[{'var': 'yda (p`lt`nshtyyn) aabraagaam', 'src': 'ds', 'lang': 'en'}]",['en'],,פעלטענשטיין,,אַבּראַגאַם,,,,,,,,,,ידא,
10,aabraamaavv,"{""surname"": ""aabraamaavv""}","[{'var': 'aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמאָוו,,,,,,,,,,,
11,a. (abrhm kaagaan) aabraamaavv,"{""given-name"": ""abrhm"", ""alternative-name"": ""kaagaan"", ""surname"": ""aabraamaavv"", ""acronym"": ""a.""}","[{'var': 'a. (abrhm kaagaan) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,קאַגאַן,,אַבּرאַמאָוו,,,,,,,,,א.,אברהם,
12,aadaalp (abrhm p`rkaap) aabraamaavv,"{""given-name"": ""aadaalp"", ""alternative-name"": ""abrhm p`rkaap"", ""surname"": ""aabraamaavv""}","[{'var': 'aadaalp (abrhm p`rkaap) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,אברהם פּערקאָף,,אַבּראַמאָוו,,,,,,,,,,אַדאָלף,
13,baarys (pyynlaand) aabraamaavv,"{""given-name"": ""baarys"", ""alternative-name"": ""pyynlaand"", ""surname"": ""aabraamaavv""}","[{'var': 'baarys (pyynlaand) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,פיינלאַנד,,אַבּראַמאָוו,,,,,,,,,,בּאָריס,
14,m`ry (mrym ayynhaarn) aabraamaavv,"{""given-name"": ""mrym"", ""alternative-name"": ""m`ry"", ""surname"": ""aabraamaavv"", ""matronymic"": ""ayynhaarn""}","[{'var': 'm`ry (mrym ayynhaarn) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,מערי,,אַבּראַמאָוו,,איינהאָרן,,,,,,,,מרים,
15,ayzaak aabraamaavvytsh,"{""given-name"": ""ayzaak"", ""surname"": ""aabraamaavvytsh""}","[{'var': 'ayzaak aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמאָוויטש,,,,,,,,,,איזאָק,
16,byn` (pvks) aabraamaavvytsh,"{""given-name"": ""byn`"", ""alternative-name"": ""pvks"", ""surname"": ""aabraamaavvytsh""}","[{'var': 'byn` (pvks) aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,פוקס,,אַבּראַמאָוויטש,,,,,,,,,,בּינע,
17,hyym aabraamaavvytsh,"{""given-name"": ""hyym"", ""surname"": ""abramvbytsh""}","[{'var': 'hyym aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אבראמוביטש,,,,,,,,,,חיים,
18,maaks (m`ndl) aabraamaavvytsh,"{""primary-name"": ""aabraamaavvytsh"", ""given-name"": ""maaks"", ""alternative-name"": ""m`ndl""}","[{'var': 'maaks (m`ndl) aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,מענדל,,,,,,,אַבּראַמאָוויטש,,,,,מאַקס,
19,h. `. aabraamaavvyts,"{""surname"": ""aabraamaavvyts"", ""honorific"": ""h. `.""}","[{'var': 'h. `. aabraamaavvyts', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמאָוויץ,,,ח. ע.,,,,,,,,
20,aadaalp (abraamaavvytsh) aabrams,"{""given-name"": ""aadaalp"", ""alternative-name"": ""abraamaavvytsh"", ""surname"": ""aabrams""}","[{'var': 'aadaalp (abraamaavvytsh) aabrams', 'src': 'ds', 'lang': 'en'}]",['en'],,אבּראַמאָוויטש,,אַבּראמס,,,,,,,,,,אַדאָלף,
21,ayyvvaan aabraamsaan,"{""given-name"": ""ayyvvaan"", ""surname"": ""aabraamsavn""}","[{'var': 'ayyvvaan aabraamsaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמסאון,,,,,,,,,,אייוואַן,
22,g. aabraamsky,"{""surname"": ""aabraamsky"", ""acronym"": ""g.""}","[{'var': 'g. aabraamsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמסקי,,,,,,,,,ג.,,
23,s`m (shmval) aagvrsky,"{""primary-name"": ""agvrsky"", ""given-name"": ""shmval"", ""alternative-name"": ""s`m""}","[{'var': 's`m (shmval) aagvrsky', 'src': 'ds', 'lang': 'en'}]",['en'],,סעם,,,,,,,אגורסקי,,,,,שמואל,
24,s`m (shlmh) aag`d,"{""given-name"": ""shlmh"", ""alternative-name"": ""s`m"", ""surname"": ""aag`d""}","[{'var': 's`m (shlmh) aag`d', 'src': 'ds', 'lang': 'en'}]",['en'],,סעם,,אַגעד,,,,,,,,,,שלמה,
25,aadaalpy,"{""given-name"": ""aadaalpy""}","[{'var': 'aadaalpy', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,אַדאָלפי,
26,astr (shaatsky) aadl`r,"{""given-name"": ""astr"", ""alternative-name"": ""shaatsky"", ""surname"": ""aadl`r""}","[{'var': 'astr (shaatsky) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,שאַצקי,,אַדלער,,,,,,,,,,אסתר,
27,b`ny aadl`r,"{""primary-name"": ""b`ny aadlr"", ""given-name"": ""b`ny"", ""surname"": ""aadlr""}","[{'var': 'b`ny aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַדלר,,,,,בּעני אַדלר,,,,,בּעני,
28,dzshvlya aadl`r,"{""given-name"": ""dzshvlya"", ""surname"": ""aadl`r""}","[{'var': 'dzshvlya aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַדלער,,,,,,,,,,דזשוליא,
29,dzshvlyvs aadl`r,"{""primary-name"": ""dzshvlyvs aadl`r"", ""given-name"": ""dzshvlyvs"", ""surname"": ""aadl`r""}","[{'var': 'dzshvlyvs aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַדלער,,,,,דזשוליוס אַדלער,,,,,דזשוליוס,
30,hyymaan (baartp`ld) aadl`r,"{""primary-name"": ""hyymaan"", ""alternative-name"": ""baartp`ld"", ""surname"": ""aadl`r""}","[{'var': 'hyymaan (baartp`ld) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,בּאַרטפעלד,,אַדלער,,,,,היימאַן,,,,,,
31,yvzsh` aadl`r,"{""given-name"": ""yvzsh`"", ""surname"": ""adl`r""}","[{'var': 'yvzsh` aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אדלער,,,,,,,,,,יוזשע,
32,yvlyvs aadl`r,"{""primary-name"": ""yvlyvs aadlr"", ""given-name"": ""yvlyvs"", ""surname"": ""aadlr""}","[{'var': 'yvlyvs aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַדלר,,,,,יוליוס אַדלר,,,,,יוליוס,
33,y`kb p. (y`kb bn pnhs) aadl`r,"{""given-name"": ""y`kb"", ""alternative-name"": ""y`kb"", ""surname"": ""aadlr"", ""patronymic"": ""bn pnhs""}","[{'var': 'y`kb p. (y`kb bn pnhs) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,יעקב,בן פנחס,אַדלר,,,,,,,,,,יעקב,
34,yrmyhv (gaald`nb`rg-tvv`rsky) aadl`r,"{""primary-name"": ""yrmyhv"", ""alternative-name"": ""gaald`nb`rg-tvv`rsky"", ""surname"": ""aadl`r""}","[{'var': 'yrmyhv (gaald`nb`rg-tvv`rsky) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,גאָלדענבּערג-טווערסקי,,אַדלער,,,,,ירמיהו,,,,,,
35,yshral aadl`r,"{""given-name"": ""yshral"", ""surname"": ""aadlr""}","[{'var': 'yshral aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַדלר,,,,,,,,,,ישראל,
36,st`laa aadl`r,"{""given-name"": ""st`laa"", ""surname"": ""adl`r""}","[{'var': 'st`laa aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אדלער,,,,,,,,,,סטעלאַ,
37,s`m aadl`r,"{""given-name"": ""s`m"", ""surname"": ""adlr""}","[{'var': 's`m aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אדלר,,,,,,,,,,סעם,
38,hyyn`-hyymaavvyash),"{""primary-name"": ""hyyn`-hyymaavvyash""}","[{'var': 'hyyn`-hyymaavvyash)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,היינע-היימאָוויאש,,,,,,
39,`myly` (shrh-mylk` shtaang) aadl`r,"{""given-name"": ""`myly`"", ""alternative-name"": ""shrh-mylk`"", ""surname"": ""adl`r""}","[{'var': '`myly` (shrh-mylk` shtaang) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,שרה-מילקע,,אדלער,,,,,,,,,,עמיליע,
40,pr`ntsys aadl`r,"{""given-name"": ""pr`ntsys"", ""surname"": ""adl`r""}","[{'var': 'pr`ntsys aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אדלער,,,,,,,,,,פרענציס,
41,tsyl` aadl`r,"{""given-name"": ""tsyl`"", ""surname"": ""adlr""}","[{'var': 'tsyl` aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אדלר,,,,,,,,,,צילע,
42,aad`s`r paalkszyng`r,"{""given-name"": ""aad`s`r"", ""surname"": ""paalkszyng`r""}","[{'var': 'aad`s`r paalkszyng`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,פאָלקסזינגער,,,,,,,,,,אַדעסער,
43,mshh y`kb ad`rshl`g`r,"{""primary-name"": ""mshh y`kb avodyoaadshl`g`r"", ""given-name"": ""mshh"", ""middle-name"": ""y`kb"", ""surname"": ""aad`shl`g`r""}","[{'var': 'mshh y`kb ad`rshl`g`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַדעשלעגער,יעקב,,,,משה יעקב אוֹדיֹאַדשלעגער,,,,,משה,
44,`ny (hnh svyb`r) avyg`nblyk,"{""given-name"": ""hnh"", ""alternative-name"": ""`ny"", ""surname"": ""avyg`nblyk"", ""matronymic"": ""svyb`r""}","[{'var': '`ny (hnh svyb`r) avyg`nblyk', 'src': 'ds', 'lang': 'en'}]",['en'],,עני,,אויגענבּליק,,סויבּער,,,,,,,,חנה,
45,pylyp avyg`nblyk,"{""primary-name"": ""pylyp avyg`nblyk"", ""given-name"": ""pylyp"", ""surname"": ""avyg`nblyk""}","[{'var': 'pylyp avyg`nblyk', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אויגענבּליק,,,,,פיליפּ אויגענבּליק,,,,,פיליפּ,
46,nhvm avysl`nd`r,"{""given-name"": ""nhvm"", ""surname"": ""avysl`nd`r""}","[{'var': 'nhvm avysl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אויסלענדער,,,,,,,,,,נחום,
47,aprym avy`rbaakh,"{""given-name"": ""aprym"", ""surname"": ""avyarbaakh""}","[{'var': 'aprym avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אויארבּאַך,,,,,,,,,,אפרים,
48,baarys (bn-tsyvn) avy`rbaakh,"{""given-name"": ""baarys"", ""alternative-name"": ""bn-tsyvn"", ""surname"": ""avy`rbaakh""}","[{'var': 'baarys (bn-tsyvn) avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],,בן-ציון,,אויערבּאַך,,,,,,,,,,בּאָריס,
49,ytshk avy`rbaakh,"{""primary-name"": ""avy`rbaakh"", ""given-name"": ""ytshk"", ""surname"": ""avy`rbaakh""}","[{'var': 'ytshk avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אויערבּאַך,,,,,אויערבּאַך,,,,,יצחק,
50,s. avy`rbaakh,"{""surname"": ""avy`rbaakh"", ""acronym"": ""s.""}","[{'var': 's. avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אויערבּאַך,,,,,,,,,ס.,,
51,s`m avy`rbaakh,"{""given-name"": ""s`m"", ""surname"": ""avy`rbaakh""}","[{'var': 's`m avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אויערבּאַך,,,,,,,,,,סעם,
52,mshh avysh`r,"{""given-name"": ""mshh"", ""surname"": ""avysh`r""}","[{'var': 'mshh avysh`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אוישער,,,,,,,,,,משה,
53,avlrykh,"{""given-name"": ""avlrykh""}","[{'var': 'avlrykh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,אולריך,
54,avnz`r vvynkl,"{""given-name"": ""avnz`r"", ""surname"": ""vvynkl""}","[{'var': 'avnz`r vvynkl', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווינקל,,,,,,,,,,אונזער,
55,avnz`r t`aat`r,"{""primary-name"": ""avnz`r t`aat`r""}","[{'var': 'avnz`r t`aat`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,אונזער טעאַטער,,,,,,
56,p`py (p`rl) avrykh,"{""given-name"": ""p`py"", ""alternative-name"": ""plr"", ""surname"": ""avrykh""}","[{'var': 'p`py (p`rl) avrykh', 'src': 'ds', 'lang': 'en'}]",['en'],,פּלר,,אוריך,,,,,,,,,,פּעפּי,
57,(ytshk paarb`raavvytsh),"{""given-name"": ""ytshk"", ""surname"": ""paarb`raavvytsh""}","[{'var': '(ytshk paarb`raavvytsh)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,פאַרבּעראָוויטש,,,,,,,,,,יצחק,
58,ytshk aazaarkh,"{""given-name"": ""ytshk"", ""surname"": ""azarkh""}","[{'var': 'ytshk aazaarkh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אזארך,,,,,,,,,,יצחק,
59,aal`ksaand`r (aarlyvk) azraa,"{""primary-name"": ""aal`ksaand`r"", ""alternative-name"": ""aarlyvk"", ""surname"": ""azraa""}","[{'var': 'aal`ksaand`r (aarlyvk) azraa', 'src': 'ds', 'lang': 'en'}]",['en'],,אָרליוק,,אזראַ,,,,,אַלעקסאַנדער,,,,,,
60,dzsh`ny aatlaas,"{""primary-name"": ""dzsh`ny aatlaas"", ""given-name"": ""dzsh`ny"", ""surname"": ""a atlas""}","[{'var': 'dzsh`ny aatlaas', 'src': 'ds', 'lang': 'en'}]",['en'],,,,א Atlās,,,,,דזשעני אַטלאַס,,,,,דזשעני,
61,aydysh` aaktyaar`n-yvnyaan,"{""primary-name"": ""aydysh` aaktyaar`n-yvnyaan"", ""professional-name"": ""aaktyaar`n-yvnyaan""}","[{'var': 'aydysh` aaktyaar`n-yvnyaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,אידישע אַקטיאָרען-יוניאָן,,אַקטיאָרען-יוניאָן,,,,
62,dvd (aygnaataavvsky) aygnaataavv,"{""given-name"": ""dvd"", ""alternative-name"": ""aygnaatvvsky"", ""surname"": ""aygnatvv""}","[{'var': 'dvd (aygnaataavvsky) aygnaataavv', 'src': 'ds', 'lang': 'en'}]",['en'],,איגנאַטווסקי,,איגנאטוו,,,,,,,,,,דוד,
63,pynkvs (pnhs ayzb`sky) ayzb`skaa,"{""primary-name"": ""ayzb`skaa"", ""given-name"": ""pynkvs"", ""alternative-name"": ""pnhs"", ""surname"": ""ayzb`sky""}","[{'var': 'pynkvs (pnhs ayzb`sky) ayzb`skaa', 'src': 'ds', 'lang': 'en'}]",['en'],,פּנחס,,איזבעסקי,,,,,איזבּעסקאָ,,,,,פּינקוס,
64,ayzmaalyaannaa,"{""primary-name"": ""ayzmaalyaannaa""}","[{'var': 'ayzmaalyaannaa', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,איזמאַליאָננאַ,,,,,,
65,aytkyn,"{""surname"": ""aytkyn""}","[{'var': 'aytkyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,איטקין,,,,,,,,,,,
66,lyyz`r ayt`lmaan,"{""given-name"": ""lyyz`r"", ""surname"": ""ayt`lmaan""}","[{'var': 'lyyz`r ayt`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,איטעלמאַן,,,,,,,,,,לייזער,
67,dvd ayybrams,"{""given-name"": ""dvd"", ""surname"": ""ayybrams""}","[{'var': 'dvd ayybrams', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייבּראמס,,,,,,,,,,דוד,
68,ayyg`np`ld (`rb`r),"{""primary-name"": ""ayyg`np`ld"", ""alternative-name"": ""`rb`r""}","[{'var': 'ayyg`np`ld (`rb`r)', 'src': 'ds', 'lang': 'en'}]",['en'],,ערבּער,,,,,,,אייגענפעלד,,,,,,
69,nyyt`n (nt`) ayyzykaavvytsh,"{""alternative-name"": ""nt`"", ""surname"": ""ayyzykaavvytsh""}","[{'var': 'nyyt`n (nt`) ayyzykaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,נטע,,אייזיקאָוויטש,,,,,,,,,,,
70,ravbn ayyzlaand,"{""given-name"": ""ravbn"", ""surname"": ""ayyzlaand""}","[{'var': 'ravbn ayyzlaand', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזלאַנד,,,,,,,,,,ראובן,
71,gaald` ayyzmaan,"{""given-name"": ""gaald`"", ""surname"": ""ayyzmaan""}","[{'var': 'gaald` ayyzmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזמאַן,,,,,,,,,,גאָלדע,
72,`vva ayyz`n-aar`nshtyyn,"{""primary-name"": ""`vva ayyz`n-aar`nshtyyn"", ""given-name"": ""`vva"", ""surname"": ""aar`nshtyyn""}","[{'var': '`vva ayyz`n-aar`nshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אָרענשטיין,,,,,עווא אייזען-אָרענשטיין,,,,,עווא,
73,abrhm ayyz`nb`rg,"{""given-name"": ""abrhm"", ""surname"": ""ayyz`nb`rg""}","[{'var': 'abrhm ayyz`nb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזענבּערג,,,,,,,,,,אברהם,
74,lyvba ayyz`nb`rg,"{""primary-name"": ""lyvba ayyz`nb`rg"", ""given-name"": ""lyvba"", ""surname"": ""ayyz`nb`rg""}","[{'var': 'lyvba ayyz`nb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזענבּערג,,,,,ליובא אייזענבּערג,,,,,ליובא,
75,mrdkhy ayyz`nshtaat,"{""primary-name"": ""mrdkhy ayyz`nshtaat"", ""given-name"": ""mrdkhy"", ""surname"": ""ayyz`nshtat""}","[{'var': 'mrdkhy ayyz`nshtaat', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזענשטאט,,,,,מרדכי אייזענשטאַט,,,,,מרדכי,
76,mrym ayyz`nshtat,"{""given-name"": ""mrym"", ""surname"": ""ayyz`nshtat""}","[{'var': 'mrym ayyz`nshtat', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזענשטאט,,,,,,,,,,מרים,
77,nhmh ayyz`nshtat,"{""given-name"": ""nhmh"", ""surname"": ""ayyz`nshtat""}","[{'var': 'nhmh ayyz`nshtat', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזענשטאט,,,,,,,,,,נחמה,
78,shlmh ayyz`nshtaark,"{""given-name"": ""shlmh"", ""surname"": ""ayyz`nshtaark""}","[{'var': 'shlmh ayyz`nshtaark', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזענשטאַרק,,,,,,,,,,שלמה,
79,aalt`r ayyz`nshlaas,"{""primary-name"": ""aalt`r ayyz`nshlaas"", ""given-name"": ""aalt`r"", ""surname"": ""ayyz`nshlaas""}","[{'var': 'aalt`r ayyz`nshlaas', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזענשלאָס,,,,,אַלטער אייזענשלאָס,,,,,אַלטער,
80,lyybl ayyz`rmaan,"{""given-name"": ""lyybl"", ""surname"": ""ayyz`rmaan""}","[{'var': 'lyybl ayyz`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייזערמאַן,,,,,,,,,,לייבּל,
81,ytshk ayykh`l,"{""given-name"": ""ytshk"", ""surname"": ""ayykh`l""}","[{'var': 'ytshk ayykh`l', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייכעל,,,,,,,,,,יצחק,
82,baash` ayynhaarn,"{""primary-name"": ""baash` ayynhaarn"", ""given-name"": ""baash`"", ""surname"": ""ayynhaarn""}","[{'var': 'baash` ayynhaarn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,איינהאָרן,,,,,בּאַשע איינהאָרן,,,,,בּאַשע,
83,dvd ayynhaarn,"{""given-name"": ""dvd"", ""surname"": ""ayynhaarn""}","[{'var': 'dvd ayynhaarn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,איינהאָרן,,,,,,,,,,דוד,
84,lyzaa ayynhaarn,"{""given-name"": ""lyzaa"", ""surname"": ""aynhaarn""}","[{'var': 'lyzaa ayynhaarn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אינהאָרן,,,,,,,,,,ליזאַ,
85,abrhm ayyn`s,"{""given-name"": ""abrhm"", ""surname"": ""ayyn`s""}","[{'var': 'abrhm ayyn`s', 'src': 'ds', 'lang': 'en'}]",['en'],,,,איינעס,,,,,,,,,,אברהם,
86,aabrhm ayys`n,"{""given-name"": ""aabrhm"", ""surname"": ""ayys`n""}","[{'var': 'aabrhm ayys`n', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אייסען,,,,,,,,,,אַברהם,
87,ytshk aynvv`ntaarzsh,"{""given-name"": ""ytshk"", ""surname"": ""aynvv`ntaarzsh""}","[{'var': 'ytshk aynvv`ntaarzsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אינווענטאַרזש,,,,,,,,,,יצחק,
88,shbty aytskaavvytsh,"{""primary-name"": ""shbty aytskaavvytsh"", ""given-name"": ""shbty"", ""surname"": ""aytskaavvytsh""}","[{'var': 'shbty aytskaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,איצקאָוויטש,,,,,שבּתי איצקאָוויטש,,,,,שבּתי,
89,saanyaa (p`ldmaan) ayrys,"{""given-name"": ""saanyaa"", ""alternative-name"": ""ayrys"", ""surname"": ""p`ldmaan""}","[{'var': 'saanyaa (p`ldmaan) ayrys', 'src': 'ds', 'lang': 'en'}]",['en'],,איריס,,פעלדמאַן,,,,,,,,,,סאָניאַ,
90,shmval ayrys,"{""given-name"": ""shmval"", ""surname"": ""ayrys""}","[{'var': 'shmval ayrys', 'src': 'ds', 'lang': 'en'}]",['en'],,,,איריס,,,,,,,,,,שמואל,
91,yvsp akhran,"{""given-name"": ""yvsp"", ""surname"": ""akhran""}","[{'var': 'yvsp akhran', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אכראן,,,,,,,,,,יוסף,
92,(aly`zr s`rhyysky),"{""given-name"": ""aly`zr"", ""surname"": ""s`rhyysky""}","[{'var': '(aly`zr s`rhyysky)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,סערהייסקי,,,,,,,,,,אליעזר,
93,(mshh yvsp naavvaamysky),"{""given-name"": ""mshh"", ""middle-name"": ""yvsp"", ""surname"": ""naavvaamysky""}","[{'var': '(mshh yvsp naavvaamysky)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,נאָוואָמיסקי,יוסף,,,,,,,,,משה,
94,saanya altbvym,"{""given-name"": ""saanya"", ""surname"": ""altbvym""}","[{'var': 'saanya altbvym', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אלטבּוים,,,,,,,,,,סאָניא,
95,baarys aaltmaan,"{""primary-name"": ""baarys aan"", ""surname"": ""aaltmaan""}","[{'var': 'baarys aaltmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אָלטמאַן,,,,,בּאָריס אַן,,,,,,
96,maarys aaltmaan,"{""given-name"": ""maarys"", ""surname"": ""aaltmaan""}","[{'var': 'maarys aaltmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַלטמאַן,,,,,,,,,,מאָריס,
97,mshh aaltman,"{""given-name"": ""mshh"", ""surname"": ""aaltman""}","[{'var': 'mshh aaltman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַלטמאן,,,,,,,,,,משה,
98,lyyb aaltshvl`r,"{""given-name"": ""lyyb"", ""surname"": ""aaltshvl`r""}","[{'var': 'lyyb aaltshvl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַלטשולער,,,,,,,,,,לייבּ,
99,shmval aalmaan,"{""given-name"": ""shmval"", ""surname"": ""aalmaan""}","[{'var': 'shmval aalmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַלמאַן,,,,,,,,,,שמואל,
100,a. (alyhv hyym sh`ps) almy,"{""given-name"": ""alyhv"", ""alternative-name"": ""sh`ps"", ""middle-name"": ""hyym"", ""acronym"": ""a.""}","[{'var': 'a. (alyhv hyym sh`ps) almy', 'src': 'ds', 'lang': 'en'}]",['en'],,שעפּס,,,חיים,,,,,,,,א.,אליהו,
