id,title,var_entries,langs,lang,phoneme,primary-name,qualifier,patronymic,middle-name,professional-name,teknonym,matronymic,honorific,given-name,nisba,surname,alternative-name,salutation,appellation,acronym
497,aad`laa gynzbvrg,"[{'var': 'aad`laa gynzbvrg', 'src': 'ds', 'lang': 'en'}]",['en'],en,əˈædlˈɑː ɡˈaɪnzbəɡ,,,,,,,,,אַדעלאַ,,גינזבּורג,,,,
498,hyym gynzbvrg,"[{'var': 'hyym gynzbvrg', 'src': 'ds', 'lang': 'en'}]",['en'],en,hˈaɪˈɪm ɡˈaɪnzbəɡ,,,,,,,,,חיים,,גינזבּורג,,,,
499,y`kb gynzbvrg,"[{'var': 'y`kb gynzbvrg', 'src': 'ds', 'lang': 'en'}]",['en'],en,jkb ɡˈaɪnzbəɡ,,,,,,,,,יעקב,,גינזבּורג,,,,
500,shavl gynzbvrg,"[{'var': 'shavl gynzbvrg', 'src': 'ds', 'lang': 'en'}]",['en'],en,ʃˈeɪvl ɡˈaɪnzbəɡ,גינזבּורג,,,,,,,,שאול,,גינזבּורג,,,,
501,ntn gynt`r,"[{'var': 'ntn gynt`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,ntn ɡˈaɪntɜ˞,,,,,,,,,נתן,,גינטער,,,,
502,saaraa (myyst`rmaan) gynt`r,"[{'var': 'saaraa (myyst`rmaan) gynt`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,sˈæɑːɑː mˈɪɪstɹmɑn̩ ɡˈaɪntɜ˞,,,,,,,,,סאַראַ,,גינטער,מייסטערמאַן,,,
503,yvnh (hyym-yvnh gyntsbvrg,"[{'var': 'yvnh (hyym-yvnh gyntsbvrg', 'src': 'ds', 'lang': 'en'}]",['en'],en,jvnh hˈaɪɪmjvnh ɡˈaɪntbəɡ,,,,,,,,,יונה,,גינצבּורג,חיים-יונה,,,
504,lvays m. (alyhv) gyntsbvrg,"[{'var': 'lvays m. (alyhv) gyntsbvrg', 'src': 'ds', 'lang': 'en'}]",['en'],en,lveɪz m əlɪəv ɡˈaɪntbəɡ,גינצבּורג,,,מ.,,,,,לואיס,,גינצבּורג,אליחו,,,
505,saanyaa (shrh tsh`r`shnyaa) gyntsbvrg,"[{'var': 'saanyaa (shrh tsh`r`shnyaa) gyntsbvrg', 'src': 'ds', 'lang': 'en'}]",['en'],en,sˈæn̩ɪəə ʃɜ˞ tʃɻʃɪɑː ɡˈaɪntbəɡ,,,,,,,,,סאָניאַ,,גינצבּורג,שרה טשערעשניאַ,,,
506,maarys gysn`t,"[{'var': 'maarys gysn`t', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈæɛ|ərɪz dʒˈɪsŋ,,,,,,,,,מאָריס,,גיסנעט,,,,
507,aysaak glaadstaan,"[{'var': 'aysaak glaadstaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪzəæk ɡlˈɑːdstn̩,גלאַדסטון,,,,,,,,איסאַק,,גלאַדסטון,,,,
508,b`ty` (bvnts` tyykyn) glaazvnaavv,"[{'var': 'b`ty` (bvnts` tyykyn) glaazvnaavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,btɪ bvnts tˈaɪɪkɪn ɡlˈɑːvnˈæv,,,,,,,,,בּעטיע,,גלאַזונאָוו,בונצע טייקין,,,
509,naaavm (nhmn glaazmaan) glaazvnaavv,"[{'var': 'naaavm (nhmn glaazmaan) glaazvnaavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,nˈɑːvm nhm ɡlˈɑːzmˈɑːn̩ ɡlˈɑːvnˈæv,נאַאום,,,,,,,,,,גלאַזונאָוו,נחמן גלאַזמאַנ,,,
510,brvkh glaazmaan,"[{'var': 'brvkh glaazmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,bɻvk ɡlˈɑːzmˈɑːn̩,,,,,,,,,ברוך,,גלאַזמאַן,,,,
511,mshh glaazmaan,"[{'var': 'mshh glaazmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,mʃh ɡlˈɑːzmˈɑːn̩,,,,,,,,,משה,,גלאַזמאַן,,,,
512,shmval glaaz`rmaan,"[{'var': 'shmval glaaz`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ʃmvl̩ ɡlˈææmən̩,,,,,,,,,שמואל,,גלאַזערמאַן,,,,
513,y`kb glaatshtyyn,"[{'var': 'y`kb glaatshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],en,jkb ɡlˈɑːztɪɪn,,,,,,,,,יעקב,,גלאַטשטיין,,,,
514,yshral glaatshtyyn,"[{'var': 'yshral glaatshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],en,jʃrəl ɡlˈɑːztɪɪn,,,,,,,,,ישראל,,גלאטשטיין,,,,
515,y`kb glaants,"[{'var': 'y`kb glaants', 'src': 'ds', 'lang': 'en'}]",['en'],en,jkb ɡlˈæənts,,,,,,,,,יעקב,,גלאַנץ,,,,
516,gdlyh glyvvytsky,"[{'var': 'gdlyh glyvvytsky', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɡl̩ɪh gɫa|ɪvɪtskɪ,,,,,,,,,גדליה,,גליוויצקי,,,,
517,naarb`rt glym`r,"[{'var': 'naarb`rt glym`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,nɑːbt ɡlɪmɜ˞,נאָרבּערט גלימער,,,,,,,,נאָרבּערט,,גלימער,,,,
518,st`paany` (shtyyp) glym`r,"[{'var': 'st`paany` (shtyyp) glym`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,stpæənɪ ʃtɪɪp ɡlɪmɜ˞,,,,,,,,,סטעפאַניע,,גלימער,שטייף,,,
519,h`rsh`l glyk,"[{'var': 'h`rsh`l glyk', 'src': 'ds', 'lang': 'en'}]",['en'],en,θʃl gɫa|ɪk,הערשעל גליק,,,,,,,,הערשעל,,גליק,,,,
520,astr glykmaan,"[{'var': 'astr glykmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,æsɜ˞ gɫa|ɪmən̩,,,,,,,,,אסתר,,גליקמאן,,,,
521,y`kb glykmaan,"[{'var': 'y`kb glykmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,jkb gɫa|ɪmən̩,,,,,,,,,יעקב,,גליקמאַן,,,,
522,maalvvyn` (plaksbvym) glykmaan,"[{'var': 'maalvvyn` (plaksbvym) glykmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈæl̩vɪn plˈeɪkbvɪm gɫa|ɪmən̩,גליקמאַן,,,,,,,,מאַלווינע,,,פלאקסבוים,,,
