id,title,var_entries,langs,lang,phoneme,primary-name,qualifier,patronymic,middle-name,professional-name,teknonym,matronymic,honorific,given-name,nisba,surname,alternative-name,salutation,appellation,acronym
0,aabbdvl,"[{'var': 'aabbdvl', 'src': 'ds', 'lang': 'en'}]",['en'],en,əæbdvl,אַבּדול,,,,,,,,,,,,,,
1,b`ny (brvkh-mshh) ab`lmaan,"[{'var': 'b`ny (brvkh-mshh) ab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,bnɪ bɻvkmʃh ˈæblmən̩,,,,,,,,,ברוך-משה,,אבּעלמאַן,בּעני,,,
2,tsyp` (tspvrh) aab`lmaan,"[{'var': 'tsyp` (tspvrh) aab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,tsɪp t|ˈiːs|puː|nvɜ˞ əˈɑːbmn̩,ציפע,,,,,,,,,,אַבּעלמאַן,ציפּורה,,,
3,bn-tsyvn ab`lsaan,"[{'var': 'bn-tsyvn ab`lsaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,bntsɪvn ˈæblsɑːn̩,,,בן,,,,,,ציון,,אבּעלסאָן,,,,
4,aadaalp aab`rb`rg,"[{'var': 'aadaalp aab`rb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈɑːdælp əˈɑːbɻbɹg,,,,,,,,,אַדאָלף,,אַבּערבּערג,,,,
5,aal`ksaad`r aab`rl`nd`r,"[{'var': 'aal`ksaad`r aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɔːksdɜ˞ əəblnɜ˞,,,,,,,,,אַלעקסאַדער,,אַבּערלענדער,,,,
6,yaaz`p ab`rl`nd`r,"[{'var': 'yaaz`p ab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jæp əbɻlnɜ˞,,,,,,,,,ייזעף,,אבּערלענדער,,,,
7,saapy` aab`rl`nd`r,"[{'var': 'saapy` aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,sˈæəpɪ əəblnɜ˞,,,,,,,,,סאָפיה,,אָבּערלענדער,,,,
8,ytshk (haab`r) aab`rmaan,"[{'var': 'ytshk (haab`r) aab`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,jtʃk həbɜ˞ əˈɑːbɻmn̩,,,,,,,,,יצחק,,אַבּערמאן,האַבּער,,,
9,yda (p`lt`nshtyyn) aabraagaam,"[{'var': 'yda (p`lt`nshtyyn) aabraagaam', 'src': 'ds', 'lang': 'en'}]",['en'],en,jdə pltnʃtɪɪn əəbɻˈeɪˈeɪˈɑːm,,,,,,,,,ידא,,אַבּראַגאַם,פעלטענשטיין,,,
10,aabraamaavv,"[{'var': 'aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,əəbɻˈeɪæˈɑːv,,,,,,,,,,,אַבּראַמאָוו,,,,
11,a. (abrhm kaagaan) aabraamaavv,"[{'var': 'a. (abrhm kaagaan) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪ əbɻm kˈɑːɡn̩ əəbɻˈeɪæˈɑːv,,,,,,,,,אברהם,,אַבּرאַמאָוו,קאַגאַן,,,א.
12,aadaalp (abrhm p`rkaap) aabraamaavv,"[{'var': 'aadaalp (abrhm p`rkaap) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈɑːdælp əbɻm pɹkəæp əəbɻˈeɪæˈɑːv,,,,,,,,,אַדאָלף,,אַבּראַמאָוו,אברהם פּערקאָף,,,
13,baarys (pyynlaand) aabraamaavv,"[{'var': 'baarys (pyynlaand) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,bˈɑːɻɪz pa|ɪɪnlænd əəbɻˈeɪæˈɑːv,,,,,,,,,בּאָריס,,אַבּראַמאָוו,פיינלאַנד,,,
14,m`ry (mrym ayynhaarn) aabraamaavv,"[{'var': 'm`ry (mrym ayynhaarn) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,mɻɪ mɻɪm ˈeɪɪnəɑːn əəbɻˈeɪæˈɑːv,,,,,,,איינהאָרן,,מרים,,אַבּראַמאָוו,מערי,,,
15,ayzaak aabraamaavvytsh,"[{'var': 'ayzaak aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪzˈɑːk əəbɻˈeɪæˈɑːvɪtʃ,,,,,,,,,איזאָק,,אַבּראַמאָוויטש,,,,
16,byn` (pvks) aabraamaavvytsh,"[{'var': 'byn` (pvks) aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,bˈaɪn pvks əəbɻˈeɪæˈɑːvɪtʃ,,,,,,,,,בּינע,,אַבּראַמאָוויטש,פוקס,,,
17,hyym aabraamaavvytsh,"[{'var': 'hyym aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,hˈaɪˈɪm əəbɻˈeɪæˈɑːvɪtʃ,,,,,,,,,חיים,,אבראמוביטש,,,,
18,maaks (m`ndl) aabraamaavvytsh,"[{'var': 'maaks (m`ndl) aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈæeɪks mndl̩ əəbɻˈeɪæˈɑːvɪtʃ,אַבּראַמאָוויטש,,,,,,,,מאַקס,,,מענדל,,,
19,h. `. aabraamaavvyts,"[{'var': 'h. `. aabraamaavvyts', 'src': 'ds', 'lang': 'en'}]",['en'],en,hˈiː ˈiː əəbɻˈeɪæˈɑːvɪts,,,,,,,,ח. ע.,,,אַבּראַמאָוויץ,,,,
20,aadaalp (abraamaavvytsh) aabrams,"[{'var': 'aadaalp (abraamaavvytsh) aabrams', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈɑːdælp əbɻˈeɪæˈɑːvɪtʃ əəbɻæmz,,,,,,,,,אַדאָלף,,אַבּראמס,אבּראַמאָוויטש,,,
21,ayyvvaan aabraamsaan,"[{'var': 'ayyvvaan aabraamsaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪɪvɑːn əəbɻˈeɪæsn̩,,,,,,,,,אייוואַן,,אַבּראַמסאון,,,,
22,g. aabraamsky,"[{'var': 'g. aabraamsky', 'src': 'ds', 'lang': 'en'}]",['en'],en,d|ʒiː əəbɻˈeɪæmskɪ,,,,,,,,,,,אַבּראַמסקי,,,,ג.
23,s`m (shmval) aagvrsky,"[{'var': 's`m (shmval) aagvrsky', 'src': 'ds', 'lang': 'en'}]",['en'],en,sm ʃmvl̩ ˈɑːɡəskɪ,אגורסקי,,,,,,,,שמואל,,,סעם,,,
24,s`m (shlmh) aag`d,"[{'var': 's`m (shlmh) aag`d', 'src': 'ds', 'lang': 'en'}]",['en'],en,sm ʃmh ˈɑːɡd,,,,,,,,,שלמה,,אַגעד,סעם,,,
25,aadaalpy,"[{'var': 'aadaalpy', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈɑːdl̩pɪ,,,,,,,,,אַדאָלפי,,,,,,
26,astr (shaatsky) aadl`r,"[{'var': 'astr (shaatsky) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,æsɜ˞ ʃˈæʊtskɪ ˈɑːdɜ˞,,,,,,,,,אסתר,,אַדלער,שאַצקי,,,
27,b`ny aadl`r,"[{'var': 'b`ny aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,bnɪ ˈɑːdɜ˞,בּעני אַדלר,,,,,,,,בּעני,,אַדלר,,,,
28,dzshvlya aadl`r,"[{'var': 'dzshvlya aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,dzʃvlɪə ˈɑːdɜ˞,,,,,,,,,דזשוליא,,אַדלער,,,,
29,dzshvlyvs aadl`r,"[{'var': 'dzshvlyvs aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,dzʃvl̩vz ˈɑːdɜ˞,דזשוליוס אַדלער,,,,,,,,דזשוליוס,,אַדלער,,,,
30,hyymaan (baartp`ld) aadl`r,"[{'var': 'hyymaan (baartp`ld) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,hˈaɪɪmæn̩ bˈæɑːtpld ˈɑːdɜ˞,היימאַן,,,,,,,,,,אַדלער,בּאַרטפעלד,,,
31,yvzsh` aadl`r,"[{'var': 'yvzsh` aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jvzʃ ˈɑːdɜ˞,,,,,,,,,יוזשע,,אדלער,,,,
32,yvlyvs aadl`r,"[{'var': 'yvlyvs aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jvl̩vz ˈɑːdɜ˞,יוליוס אַדלר,,,,,,,,יוליוס,,אַדלר,,,,
33,y`kb p. (y`kb bn pnhs) aadl`r,"[{'var': 'y`kb p. (y`kb bn pnhs) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jkb p jkb bn nz ˈɑːdɜ˞,,,בן פנחס,,,,,,יעקב,,אַדלר,יעקב,,,
34,yrmyhv (gaald`nb`rg-tvv`rsky) aadl`r,"[{'var': 'yrmyhv (gaald`nb`rg-tvv`rsky) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jmɪəv ɡˈæˈɔːldnbɡtvzkɪ ˈɑːdɜ˞,ירמיהו,,,,,,,,,,אַדלער,גאָלדענבּערג-טווערסקי,,,
35,yshral aadl`r,"[{'var': 'yshral aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jʃrəl ˈɑːdɜ˞,,,,,,,,,ישראל,,אַדלר,,,,
36,st`laa aadl`r,"[{'var': 'st`laa aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,stlˈɑː ˈɑːdɜ˞,,,,,,,,,סטעלאַ,,אדלער,,,,
37,s`m aadl`r,"[{'var': 's`m aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,sm ˈɑːdɜ˞,,,,,,,,,סעם,,אדלר,,,,
38,hyyn`-hyymaavvyash),"[{'var': 'hyyn`-hyymaavvyash)', 'src': 'ds', 'lang': 'en'}]",['en'],en,hˈaɪɪnha|ɪɪmæˈævɪæʃ,היינע-היימאָוויאש,,,,,,,,,,,,,,
39,`myly` (shrh-mylk` shtaang) aadl`r,"[{'var': '`myly` (shrh-mylk` shtaang) aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈaɪlɪ ʃhmɪlk ʃtæŋ ˈɑːdɜ˞,,,,,,,,,עמיליע,,אדלער,שרה-מילקע,,,
40,pr`ntsys aadl`r,"[{'var': 'pr`ntsys aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,pɻŋzɪz ˈɑːdɜ˞,,,,,,,,,פרענציס,,אדלער,,,,
41,tsyl` aadl`r,"[{'var': 'tsyl` aadl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,tsɪl ˈɑːdɜ˞,,,,,,,,,צילע,,אדלר,,,,
42,aad`s`r paalkszyng`r,"[{'var': 'aad`s`r paalkszyng`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,ədzɜ˞ pˈæɔːkszɪŋɜ˞,,,,,,,,,אַדעסער,,פאָלקסזינגער,,,,
43,mshh y`kb ad`rshl`g`r,"[{'var': 'mshh y`kb ad`rshl`g`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,mʃh jkb ədɻʃlɡɜ˞,משה יעקב אוֹדיֹאַדשלעגער,,,יעקב,,,,,משה,,אַדעשלעגער,,,,
44,`ny (hnh svyb`r) avyg`nblyk,"[{'var': '`ny (hnh svyb`r) avyg`nblyk', 'src': 'ds', 'lang': 'en'}]",['en'],en,nɪ hnh svɪbɜ˞ əvɪɡnbl̩k,,,,,,,סויבּער,,חנה,,אויגענבּליק,עני,,,
45,pylyp avyg`nblyk,"[{'var': 'pylyp avyg`nblyk', 'src': 'ds', 'lang': 'en'}]",['en'],en,pˈaɪlɪp əvɪɡnbl̩k,פיליפּ אויגענבּליק,,,,,,,,פיליפּ,,אויגענבּליק,,,,
46,nhvm avysl`nd`r,"[{'var': 'nhvm avysl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,nhvm əvɪslnɜ˞,,,,,,,,,נחום,,אויסלענדער,,,,
47,aprym avy`rbaakh,"[{'var': 'aprym avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪpɻɪm əvɪbɑːˈɑːk,,,,,,,,,אפרים,,אויארבּאַך,,,,
48,baarys (bn-tsyvn) avy`rbaakh,"[{'var': 'baarys (bn-tsyvn) avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],en,bˈɑːɻɪz bntsɪvn əvɪbɑːˈɑːk,,,,,,,,,בּאָריס,,אויערבּאַך,בן-ציון,,,
49,ytshk avy`rbaakh,"[{'var': 'ytshk avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],en,jtʃk əvɪbɑːˈɑːk,אויערבּאַך,,,,,,,,יצחק,,אויערבּאַך,,,,
50,s. avy`rbaakh,"[{'var': 's. avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],en,sn̩ əvɪbɑːˈɑːk,,,,,,,,,,,אויערבּאַך,,,,ס.
51,s`m avy`rbaakh,"[{'var': 's`m avy`rbaakh', 'src': 'ds', 'lang': 'en'}]",['en'],en,sm əvɪbɑːˈɑːk,,,,,,,,,סעם,,אויערבּאַך,,,,
52,mshh avysh`r,"[{'var': 'mshh avysh`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,mʃh əvɪʃɜ˞,,,,,,,,,משה,,אוישער,,,,
53,avlrykh,"[{'var': 'avlrykh', 'src': 'ds', 'lang': 'en'}]",['en'],en,əvlik,,,,,,,,,אולריך,,,,,,
54,avnz`r vvynkl,"[{'var': 'avnz`r vvynkl', 'src': 'ds', 'lang': 'en'}]",['en'],en,əvnzɜ˞ vɪŋkl,,,,,,,,,אונזער,,ווינקל,,,,
55,avnz`r t`aat`r,"[{'var': 'avnz`r t`aat`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,əvnzɜ˞ tˈæˈæɜ˞,אונזער טעאַטער,,,,,,,,,,,,,,
56,p`py (p`rl) avrykh,"[{'var': 'p`py (p`rl) avrykh', 'src': 'ds', 'lang': 'en'}]",['en'],en,pɪ pɹɫ əvik,,,,,,,,,פּעפּי,,אוריך,פּלר,,,
57,(ytshk paarb`raavvytsh),"[{'var': '(ytshk paarb`raavvytsh)', 'src': 'ds', 'lang': 'en'}]",['en'],en,jtʃk pˈæɑːbɻˈævɪtʃ,,,,,,,,,יצחק,,פאַרבּעראָוויטש,,,,
58,ytshk aazaarkh,"[{'var': 'ytshk aazaarkh', 'src': 'ds', 'lang': 'en'}]",['en'],en,jtʃk əəzˈɑːk,,,,,,,,,יצחק,,אזארך,,,,
59,aal`ksaand`r (aarlyvk) azraa,"[{'var': 'aal`ksaand`r (aarlyvk) azraa', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɔːksənɜ˞ ɑɹɫa|ɪvk ˈæzɻə,אַלעקסאַנדער,,,,,,,,,,אזראַ,אָרליוק,,,
60,dzsh`ny aatlaas,"[{'var': 'dzsh`ny aatlaas', 'src': 'ds', 'lang': 'en'}]",['en'],en,dzʃnɪ əˈæləz,דזשעני אַטלאַס,,,,,,,,דזשעני,,א Atlās,,,,
61,aydysh` aaktyaar`n-yvnyaan,"[{'var': 'aydysh` aaktyaar`n-yvnyaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪdɪʃ əɪkɪəɑːnjvnjən̩,אידישע אַקטיאָרען-יוניאָן,,,,אַקטיאָרען-יוניאָן,,,,,,,,,,
62,dvd (aygnaataavvsky) aygnaataavv,"[{'var': 'dvd (aygnaataavvsky) aygnaataavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,dvd ˈeɪnj|əˈæˈɑːvskɪ ˈeɪnj|əˈæˈɑːv,,,,,,,,,דוד,,איגנאטוו,איגנאַטווסקי,,,
63,pynkvs (pnhs ayzb`sky) ayzb`skaa,"[{'var': 'pynkvs (pnhs ayzb`sky) ayzb`skaa', 'src': 'ds', 'lang': 'en'}]",['en'],en,pˈɪŋkvz nz ˈeɪzbskɪ ˈeɪzbskɑː,איזבּעסקאָ,,,,,,,,פּינקוס,,איזבעסקי,פּנחס,,,
64,ayzmaalyaannaa,"[{'var': 'ayzmaalyaannaa', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪzmˈɑːl̩ɪəˈænəə,איזמאַליאָננאַ,,,,,,,,,,,,,,
65,aytkyn,"[{'var': 'aytkyn', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪtkɪn,,,,,,,,,,,איטקין,,,,
66,lyyz`r ayt`lmaan,"[{'var': 'lyyz`r ayt`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,lˈɪa|ɪzɜ˞ ˈeɪl̩mn̩,,,,,,,,,לייזער,,איטעלמאַן,,,,
67,dvd ayybrams,"[{'var': 'dvd ayybrams', 'src': 'ds', 'lang': 'en'}]",['en'],en,dvd ˈeɪɪbɻæmz,,,,,,,,,דוד,,אייבּראמס,,,,
68,ayyg`np`ld (`rb`r),"[{'var': 'ayyg`np`ld (`rb`r)', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪˈɪɡnpld bɜ˞,אייגענפעלד,,,,,,,,,,,ערבּער,,,
69,nyyt`n (nt`) ayyzykaavvytsh,"[{'var': 'nyyt`n (nt`) ayyzykaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,nˈɪɪtn nt ˈeɪa|ɪzɪkˈɑːvɪtʃ,,,,,,,,,,,אייזיקאָוויטש,נטע,,,
70,ravbn ayyzlaand,"[{'var': 'ravbn ayyzlaand', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɻˈævbn ˈeɪa|ɪzlænd,,,,,,,,,ראובן,,אייזלאַנד,,,,
71,gaald` ayyzmaan,"[{'var': 'gaald` ayyzmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɡˈæɔːld ˈeɪa|ɪzmˈɑːn̩,,,,,,,,,גאָלדע,,אייזמאַן,,,,
72,`vva ayyz`n-aar`nshtyyn,"[{'var': '`vva ayyz`n-aar`nshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],en,vvə ˈeɪa|ɪznəɑːnʃtɪɪn,עווא אייזען-אָרענשטיין,,,,,,,,עווא,,אָרענשטיין,,,,
73,abrhm ayyz`nb`rg,"[{'var': 'abrhm ayyz`nb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],en,əbɻm ˈeɪa|ɪznbɹg,,,,,,,,,אברהם,,אייזענבּערג,,,,
74,lyvba ayyz`nb`rg,"[{'var': 'lyvba ayyz`nb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],en,lˈɪvbə ˈeɪa|ɪznbɹg,ליובא אייזענבּערג,,,,,,,,ליובא,,אייזענבּערג,,,,
75,mrdkhy ayyz`nshtaat,"[{'var': 'mrdkhy ayyz`nshtaat', 'src': 'ds', 'lang': 'en'}]",['en'],en,mdki ˈeɪa|ɪznʃtɑː,מרדכי אייזענשטאַט,,,,,,,,מרדכי,,אייזענשטאט,,,,
76,mrym ayyz`nshtat,"[{'var': 'mrym ayyz`nshtat', 'src': 'ds', 'lang': 'en'}]",['en'],en,mɻɪm ˈeɪa|ɪznʃtæt,,,,,,,,,מרים,,אייזענשטאט,,,,
77,nhmh ayyz`nshtat,"[{'var': 'nhmh ayyz`nshtat', 'src': 'ds', 'lang': 'en'}]",['en'],en,nmh ˈeɪa|ɪznʃtæt,,,,,,,,,נחמה,,אייזענשטאט,,,,
78,shlmh ayyz`nshtaark,"[{'var': 'shlmh ayyz`nshtaark', 'src': 'ds', 'lang': 'en'}]",['en'],en,ʃmh ˈeɪa|ɪznʃtɑːk,,,,,,,,,שלמה,,אייזענשטאַרק,,,,
79,aalt`r ayyz`nshlaas,"[{'var': 'aalt`r ayyz`nshlaas', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɔːltɜ˞ ˈeɪa|ɪznʃlˈɑːz,אַלטער אייזענשלאָס,,,,,,,,אַלטער,,אייזענשלאָס,,,,
80,lyybl ayyz`rmaan,"[{'var': 'lyybl ayyz`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,lˈɪˈaɪbl ˈeɪa|ɪzmən̩,,,,,,,,,לייבּל,,אייזערמאַן,,,,
81,ytshk ayykh`l,"[{'var': 'ytshk ayykh`l', 'src': 'ds', 'lang': 'en'}]",['en'],en,jtʃk ˈeɪɪkl,,,,,,,,,יצחק,,אייכעל,,,,
82,baash` ayynhaarn,"[{'var': 'baash` ayynhaarn', 'src': 'ds', 'lang': 'en'}]",['en'],en,bˈɑːʃ ˈeɪɪnəɑːn,בּאַשע איינהאָרן,,,,,,,,בּאַשע,,איינהאָרן,,,,
83,dvd ayynhaarn,"[{'var': 'dvd ayynhaarn', 'src': 'ds', 'lang': 'en'}]",['en'],en,dvd ˈeɪɪnəɑːn,,,,,,,,,דוד,,איינהאָרן,,,,
84,lyzaa ayynhaarn,"[{'var': 'lyzaa ayynhaarn', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɫa|ɪzɑː ˈeɪɪnəɑːn,,,,,,,,,ליזאַ,,אינהאָרן,,,,
85,abrhm ayyn`s,"[{'var': 'abrhm ayyn`s', 'src': 'ds', 'lang': 'en'}]",['en'],en,əbɻm ˈeɪɪnz,,,,,,,,,אברהם,,איינעס,,,,
86,aabrhm ayys`n,"[{'var': 'aabrhm ayys`n', 'src': 'ds', 'lang': 'en'}]",['en'],en,əˈɑːbɻm ˈeɪɪsn,,,,,,,,,אַברהם,,אייסען,,,,
87,ytshk aynvv`ntaarzsh,"[{'var': 'ytshk aynvv`ntaarzsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,jtʃk ˈeɪnvntˈɑːzʃ,,,,,,,,,יצחק,,אינווענטאַרזש,,,,
88,shbty aytskaavvytsh,"[{'var': 'shbty aytskaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,ʃbtɪ ˈeɪtskˈɑːvɪtʃ,שבּתי איצקאָוויטש,,,,,,,,שבּתי,,איצקאָוויטש,,,,
89,saanyaa (p`ldmaan) ayrys,"[{'var': 'saanyaa (p`ldmaan) ayrys', 'src': 'ds', 'lang': 'en'}]",['en'],en,sˈæn̩ɪəə pldmɑːn̩ ˈeɪɻɪz,,,,,,,,,סאָניאַ,,פעלדמאַן,איריס,,,
90,shmval ayrys,"[{'var': 'shmval ayrys', 'src': 'ds', 'lang': 'en'}]",['en'],en,ʃmvl̩ ˈeɪɻɪz,,,,,,,,,שמואל,,איריס,,,,
91,yvsp akhran,"[{'var': 'yvsp akhran', 'src': 'ds', 'lang': 'en'}]",['en'],en,jv|ˈɜːsp ˈɑːkrən,,,,,,,,,יוסף,,אכראן,,,,
92,(aly`zr s`rhyysky),"[{'var': '(aly`zr s`rhyysky)', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɫa|ɪzɜ˞ sɻˈɪɪskɪ,,,,,,,,,אליעזר,,סערהייסקי,,,,
93,(mshh yvsp naavvaamysky),"[{'var': '(mshh yvsp naavvaamysky)', 'src': 'ds', 'lang': 'en'}]",['en'],en,mʃh jv|ˈɜːsp nˈævˈɑːmɪskɪ,,,,יוסף,,,,,משה,,נאָוואָמיסקי,,,,
94,saanya altbvym,"[{'var': 'saanya altbvym', 'src': 'ds', 'lang': 'en'}]",['en'],en,sˈæˈænjə ˈɔːltbvɪm,,,,,,,,,סאָניא,,אלטבּוים,,,,
95,baarys aaltmaan,"[{'var': 'baarys aaltmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,bˈɑːɻɪz əɔːltmn̩,בּאָריס אַן,,,,,,,,,,אָלטמאַן,,,,
96,maarys aaltmaan,"[{'var': 'maarys aaltmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈæɛ|ərɪz əɔːltmn̩,,,,,,,,,מאָריס,,אַלטמאַן,,,,
97,mshh aaltman,"[{'var': 'mshh aaltman', 'src': 'ds', 'lang': 'en'}]",['en'],en,mʃh əɔːltmən,,,,,,,,,משה,,אַלטמאן,,,,
98,lyyb aaltshvl`r,"[{'var': 'lyyb aaltshvl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,lˈɪɪb əˈɔːltʃvlɜ˞,,,,,,,,,לייבּ,,אַלטשולער,,,,
99,shmval aalmaan,"[{'var': 'shmval aalmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ʃmvl̩ əˈɑːmən̩,,,,,,,,,שמואל,,אַלמאַן,,,,
100,a. (alyhv hyym sh`ps) almy,"[{'var': 'a. (alyhv hyym sh`ps) almy', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪ əlɪəv hˈaɪˈɪm ʃps ˈɑːmɪ,,,,חיים,,,,,אליהו,,,שעפּס,,,א.
101,p`rnaandaa aal`skaa,"[{'var': 'p`rnaandaa aal`skaa', 'src': 'ds', 'lang': 'en'}]",['en'],en,pɻnənɑː əˈɔːlskɑː,פערנאַנדאָ,,,,,,,,,,אלעסקאָ,,,,
102,ahrn aal`ksaandraavv,"[{'var': 'ahrn aal`ksaandraavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈæɻn əɔːksənɻˈæv,,,,,,,,,אהרן,,אָלעקסאַנדרוול,,,,
103,h. (vvylyaam myl`r) aal`ksaandraavv,"[{'var': 'h. (vvylyaam myl`r) aal`ksaandraavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,hˈiː vɪlɪˈɑːm mˈɪlɜ˞ əɔːksənɻˈæv,,,,,,,,,וויליאַם,,אָלעקסאַנדראָוו,מילער,ח.,,
104,aysaak aalp`raavvytsh,"[{'var': 'aysaak aalp`raavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪzəæk əælpræˈævɪtʃ,,,,,,,,,איסאַק,,אַלפּעראָוויטש,,,,
105,y. (yhvsh` `lkyn) aalkaan,"[{'var': 'y. (yhvsh` `lkyn) aalkaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,jˈiː ɪəvʃ lkɪn əɔːkɑːn,,,,,,,,,יהושע,,,עלקין,,,י.
106,yhvsh` aalkaan,"[{'var': 'yhvsh` aalkaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɪəvʃ əɔːkɑːn,,,,,,,,,יהושע,,אַלקאַן,,,,
107,avm` (prvm`) aalk`nytsky,"[{'var': 'avm` (prvm`) aalk`nytsky', 'src': 'ds', 'lang': 'en'}]",['en'],en,əvm pɻvm əɔːknɪtskɪ,,,,,,,,,אומע,,אָלקענהיצקי,פרומע,,,
108,aal`ksaand`r (yhvsh`) aalshaan`tsky,"[{'var': 'aal`ksaand`r (yhvsh`) aalshaan`tsky', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɔːksənɜ˞ ɪəvʃ əl̩ʃeɪn̩tskɪ,,,,,,,,,אַלעקסאַנדער,,אָלשאַנעצקי,יהושע,,,
109,p`t`r (psh gaaldb`rg) aamaatyn,"[{'var': 'p`t`r (psh gaaldb`rg) aamaatyn', 'src': 'ds', 'lang': 'en'}]",['en'],en,tɜ˞ pʃ ɡˈæˈɔːldbɹg əˈɑːməætən,גאָלדבּערג,,,,,,,,פּסח,,אַמאַטין,פּעטער,,,
110,aal`ks (aal`ksaand`r) aamaasyaa,"[{'var': 'aal`ks (aal`ksaand`r) aamaasyaa', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɔːks əɔːksənɜ˞ əæˈɑːzɪɑː,,,,,,,,,אַלעקס,,אַמאַסיאַ,אַלעקסאַנדער,,,
111,h`rsh aamaasyaa,"[{'var': 'h`rsh aamaasyaa', 'src': 'ds', 'lang': 'en'}]",['en'],en,θʃ əæˈɑːzɪɑː,הערש אַמאַסיאַ,,,,,,,,,,,,,,
