,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
0,http://www.wikidata.org/entity/Q9546,אַל־גאַזאַלי,he,ʔlɡʔzʔli,,פערסישער מוסולמענער פילאסאף און יוריסט,1056-01-01,1111-12-26,55,"{""name_part_0"": ""ʔlɡʔzʔli""}"
1,http://www.wikidata.org/entity/Q318820,בנימן טודעלענס,he,bnimn todʔlʕns,,,1130-01-01,1174-01-01,44,"{""name_part_0"": ""bnimn"", ""name_part_1"": ""todʔlʕns""}"
2,http://www.wikidata.org/entity/Q714595,גיארגי דער פערטער לאשא,he,ɡiʔrɡi dʕʁ fʔrtʕʁ lʔʃʔ,,גרוזיניעשער מלך,1191-01-01,1223-01-01,32,"{""name_part_0"": ""ɡiʔrɡi"", ""name_part_1"": ""dʕʁ"", ""name_part_2"": ""fʔrtʕʁ"", ""name_part_3"": ""lʔʃʔ""}"
3,http://www.wikidata.org/entity/Q239486,"דייוויד דער צווייטער, מלך פון שאטלאנד",he,diivid dʕʁ tsoiitʕʁ mlχ fon ʃʔtlʔnd,"דעיוויד דער צווייטער, מלך פון שאטלאנד",,1324-03-05,1371-02-22,47,"{""name_part_0"": ""diivid"", ""name_part_1"": ""dʕʁ"", ""name_part_2"": ""tsoiitʕʁ"", ""name_part_3"": ""mlχ"", ""name_part_4"": ""fon"", ""name_part_5"": ""ʃʔtlʔnd""}"
4,http://www.wikidata.org/entity/Q61809176,Orso Orsini,en,ˈɔːsəʊ ˈɔːsiːnɪ,,,1404-01-01,1424-07-28,20,"{""name_part_0"": ""ˈɔːsəʊ"", ""name_part_1"": ""ˈɔːsiːnɪ""}"
5,http://www.wikidata.org/entity/Q7226,זשאן ד'ארק,he,zʃʔn dʔrq,,,1412-01-01,1431-06-08,19,"{""name_part_0"": ""zʃʔn"", ""name_part_1"": ""dʔrq""}"
6,http://www.wikidata.org/entity/Q47674,אמעריגא וועספוטשי,he,ʔmʔʁiɡʔ vosfvtʃi,אמעריגאָ וועספוטשי,,1454-03-18,1512-03-03,58,"{""name_part_0"": ""ʔmʔʁiɡʔ"", ""name_part_1"": ""vosfvtʃi""}"
7,http://www.wikidata.org/entity/Q675493,הענרי דער זיבעטער,he,hʔnʁi dʕʁ zibʔtʔʁ,,מלך פון ענגלאנד,1457-01-28,1509-04-21,52,"{""name_part_0"": ""hʔnʁi"", ""name_part_1"": ""dʕʁ"", ""name_part_2"": ""zibʔtʔʁ""}"
8,http://www.wikidata.org/entity/Q207953,עליזאבעט פון יארק,he,ʕlizʔvʔt fon jʔrk,,,1466-02-20,1503-02-21,37,"{""name_part_0"": ""ʕlizʔvʔt"", ""name_part_1"": ""fon"", ""name_part_2"": ""jʔrk""}"
9,http://www.wikidata.org/entity/Q711801,"ארטור, פרינץ פון וויילס",he,ʔrtoʁ fʁints fon voils,ארטור טיודאר,,1486-09-29,1502-04-02,16,"{""name_part_0"": ""ʔrtoʁ"", ""name_part_1"": ""fʁints"", ""name_part_2"": ""fon"", ""name_part_3"": ""voils""}"
10,http://www.wikidata.org/entity/Q1949189,"רמ""א",he,ʁmʔ,משה איסערלס,,1520-03-03,1572-05-20,52,"{""name_part_0"": ""ʁmʔ""}"
11,http://www.wikidata.org/entity/Q733598,משה קארדאווערא,he,mʃa qʔʁdʔoʔrʔ,"רמ""ק",די רמ״ק - איינער פון די הויפט מקובלים,1522-01-01,1570-07-07,48,"{""name_part_0"": ""mʃa"", ""name_part_1"": ""qʔʁdʔoʔrʔ""}"
12,http://www.wikidata.org/entity/Q339509,"אר""י הקדוש",he,ʔʁi hkdoʃ,,,1534-01-01,1572-08-04,38,"{""name_part_0"": ""ʔʁi"", ""name_part_1"": ""hkdoʃ""}"
13,http://www.wikidata.org/entity/Q5362047,אליהו בעל שם פֿון װירמײַזא,he,ʔliho bʕl ʃm fvn jʁmzʔ,,,1536-01-01,1583-01-01,47,"{""name_part_0"": ""ʔliho"", ""name_part_1"": ""bʕl"", ""name_part_2"": ""ʃm"", ""name_part_3"": ""fvn"", ""name_part_4"": ""jʁmzʔ""}"
14,http://www.wikidata.org/entity/Q83229,עדווארד דער זעקסטער,he,ʔdoʔrd dʕʁ zʔkstʕʁ,,מלך פון ענגלאנד,1537-10-22,1553-07-16,16,"{""name_part_0"": ""ʔdoʔrd"", ""name_part_1"": ""dʕʁ"", ""name_part_2"": ""zʔkstʕʁ""}"
15,http://www.wikidata.org/entity/Q166675,געארג ווילהעלם,he,ɡʔʔʁɡ vilhʔlm,,"עלעקטאר און מארגראוו פון בראנדנבורג, הערצאג פון פרייסן",1595-11-13,1640-12-01,45,"{""name_part_0"": ""ɡʔʔʁɡ"", ""name_part_1"": ""vilhʔlm""}"
16,http://www.wikidata.org/entity/Q9191,רענע דעקארט,he,ʁʕnʕ dʕkʔʁt,,,1596-03-31,1650-02-11,54,"{""name_part_0"": ""ʁʕnʕ"", ""name_part_1"": ""dʕkʔʁt""}"
17,http://www.wikidata.org/entity/Q122392,יאקאב בערנולי,he,jʔkʔv bʔrnoli,,,1654-12-27,1705-08-16,51,"{""name_part_0"": ""jʔkʔv"", ""name_part_1"": ""bʔrnoli""}"
18,http://www.wikidata.org/entity/Q87093,"שארל, עלעקטאר־פרינץ פון בראנדנבורג",he,ʃʔrl ʕlʔktʔrfrints fon brʔndnvorɡ,,,1655-02-16,1674-12-07,19,"{""name_part_0"": ""ʃʔrl"", ""name_part_1"": ""ʕlʔktʔrfrints"", ""name_part_2"": ""fon"", ""name_part_3"": ""brʔndnvorɡ""}"
19,http://www.wikidata.org/entity/Q151826,פרידריך דער ערשטער פון פרייסן,he,fʁidriχ dʕʁ ʕrʃtʕr fon friisn,,,1657-07-11,1713-02-25,56,"{""name_part_0"": ""fʁidriχ"", ""name_part_1"": ""dʕʁ"", ""name_part_2"": ""ʕrʃtʕr"", ""name_part_3"": ""fon"", ""name_part_4"": ""friisn""}"
