,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
600,http://www.wikidata.org/entity/Q173893,جون ويكليف,ar,dʒawn awiːkliːf,,,1320-01-01,1385-01-08,65,"{""name_part_0"": ""dʒawn"", ""name_part_1"": ""awiːkliːf""}"
601,http://www.wikidata.org/entity/Q216630,فالديمار الرابع ملك الدنمارك,ar,faːldajmaːr aːlraːbʕ mlk aːldnmaːrk,,,1320-01-01,1375-10-24,55,"{""name_part_0"": ""faːldajmaːr"", ""name_part_1"": ""aːlraːbʕ"", ""name_part_2"": ""mlk"", ""name_part_3"": ""aːldnmaːrk""}"
602,http://www.wikidata.org/entity/Q242598,بلانش من نامور,ar,blaːnʃ mn naːmuːr,,ملكة السويد والنرويج القرينة,1320-01-01,1363-01-01,43,"{""name_part_0"": ""blaːnʃ"", ""name_part_1"": ""mn"", ""name_part_2"": ""naːmuːr""}"
603,http://www.wikidata.org/entity/Q269586,بياتريس دي بوربون، ملكة بوهيميا,ar,biːaːtrjs diː boːrbuːn mlkt bwhiːmiːaː,,,1320-01-01,1383-12-23,63,"{""name_part_0"": ""biːaːtrjs"", ""name_part_1"": ""diː"", ""name_part_2"": ""boːrbuːn"", ""name_part_3"": ""mlkt"", ""name_part_4"": ""bwhiːmiːaː""}"
604,http://www.wikidata.org/entity/Q310777,نيكول أورسمه,ar,niːkoːl ʔ|uwrsmh,,فيلسوف فرنسي,1320-01-01,1382-07-19,62,"{""name_part_0"": ""niːkoːl"", ""name_part_1"": ""ʔ|uwrsmh""}"
605,http://www.wikidata.org/entity/Q3484434,سيمون ريتشارد,ar,siːmoːn riːtʃaːrd,,,1320-01-01,1381-01-01,61,"{""name_part_0"": ""siːmoːn"", ""name_part_1"": ""riːtʃaːrd""}"
606,http://www.wikidata.org/entity/Q380071,فوكاشين مرنيافتشيفتش,ar,foːkaːʃjn mrneːaːftʃeːftʃ,,,1320-01-01,1371-09-26,51,"{""name_part_0"": ""foːkaːʃjn"", ""name_part_1"": ""mrneːaːftʃeːftʃ""}"
607,http://www.wikidata.org/entity/Q55903101,ابن بَرْدِس,ar,aːbn b_rdis,ابن بردس,عالم حديث من علماء الحديث، نظم النهاية لابن الأثير,1320-01-01,1384-01-01,64,"{""name_part_0"": ""aːbn"", ""name_part_1"": ""b_rdis""}"
608,http://www.wikidata.org/entity/Q5725917,هنري ميتشيل,ar,hnraj miːtʃjl,,قاضي أيرلندي,1320-01-01,1384-01-01,64,"{""name_part_0"": ""hnraj"", ""name_part_1"": ""miːtʃjl""}"
609,http://www.wikidata.org/entity/Q6119839,سانشو مانويل  دي بليانة وكاستانيدا,ar,saːnʃuː maːnweːl diː bliːaːnt oːkaːstaːneːdaː,,,1320-01-01,1347-01-01,27,"{""name_part_0"": ""saːnʃuː"", ""name_part_1"": ""maːnweːl"", ""name_part_2"": ""diː"", ""name_part_3"": ""bliːaːnt"", ""name_part_4"": ""oːkaːstaːneːdaː""}"
610,http://www.wikidata.org/entity/Q738040,لويجي من تارانتو,ar,luːjdʒiː mn taːraːntaw,,,1320-01-01,1362-01-01,42,"{""name_part_0"": ""luːjdʒiː"", ""name_part_1"": ""mn"", ""name_part_2"": ""taːraːntaw""}"
611,http://www.wikidata.org/entity/Q7487698,شمس الدين الخليلي,ar,ʃms aːldjn aːlxliːliː,شمس الدين ابو عبدالله الخليلي,,1320-01-01,1380-01-01,60,"{""name_part_0"": ""ʃms"", ""name_part_1"": ""aːldjn"", ""name_part_2"": ""aːlxliːliː""}"
612,http://www.wikidata.org/entity/Q8512736,وانسونغ داي غن,ar,awaːnswnɣ daːeː ɣn,,,1320-01-01,1385-01-01,65,"{""name_part_0"": ""awaːnswnɣ"", ""name_part_1"": ""daːeː"", ""name_part_2"": ""ɣn""}"
613,http://www.wikidata.org/entity/Q295824,بيدرو الأول ملك البرتغال,ar,biːdruː aːlʔ|uuːl mlk aːlbrtɣaːl,بيتر الأول ملك البرتغال,ملك البرتغال,1320-04-08,1367-01-18,47,"{""name_part_0"": ""biːdruː"", ""name_part_1"": ""aːlʔ|uuːl"", ""name_part_2"": ""mlk"", ""name_part_3"": ""aːlbrtɣaːl""}"
614,http://www.wikidata.org/entity/Q8666,توغون تيمور,ar,toːɣoːn tiːmoːr,,,1320-06-02,1370-05-31,50,"{""name_part_0"": ""toːɣoːn"", ""name_part_1"": ""tiːmoːr""}"
615,http://www.wikidata.org/entity/Q234022,إينيس دي كاسترو,ar,ʔiːnjs diː kaːstraw,,,1320-12-25,1355-01-15,35,"{""name_part_0"": ""ʔiːnjs"", ""name_part_1"": ""diː"", ""name_part_2"": ""kaːstraw""}"
616,http://www.wikidata.org/entity/Q113771520,أبو عبد الله بن جزي,ar,ʔbw ʕbd aːllh bn dʒzeː,أبو عبد الله محمد بن محمد الكاتب,,1321-01-01,1357-01-01,36,"{""name_part_0"": ""ʔbw"", ""name_part_1"": ""ʕbd"", ""name_part_2"": ""aːllh"", ""name_part_3"": ""bn"", ""name_part_4"": ""dʒzeː""}"
617,http://www.wikidata.org/entity/Q124741722,الطَّرسُوسي,ar,tˤ_rs_wsaj,إبراهيم بن علي بن أحمد بن عبد الواحد ابن عبد المنعم الطرسوسي,قاض ومؤلف من دمشق، عاش وتوفي في نفس المدينة,1321-01-01,1357-01-01,36,"{""name_part_0"": ""tˤ_rs_wsaj""}"
618,http://www.wikidata.org/entity/Q124769017,الفَضْل الحَفْصي,ar,f_dˤl aːlħ_fsˤj,الفضل بن أبي بكر المتوكل على الله بن يحيى الحفصي,من ملوك الحفصيين بتونس، تولى الحكم في أوقات اختلال الدولة وانحلالها,1321-01-01,1350-01-01,29,"{""name_part_0"": ""f_dˤl"", ""name_part_1"": ""aːlħ_fsˤj""}"
619,http://www.wikidata.org/entity/Q124772419,ابن حَدِيدة,ar,aːbn ħ_dijda,محمد بن علي بن أحمد بن عبد الرحمن بن حسن الأنصاري,مؤرخ ومحدث عني بالحديث، مقدسي الأصل، سكن القاهرة وصنف العديد من الكتب,1321-01-01,1381-01-01,60,"{""name_part_0"": ""aːbn"", ""name_part_1"": ""ħ_dijda""}"
620,http://www.wikidata.org/entity/Q2512868,خايمي الأول، كونت أورغل,ar,xaːajmj aːlʔ|uuːl kuːnt ʔawrɣl,,,1321-01-01,1347-11-23,26,"{""name_part_0"": ""xaːajmj"", ""name_part_1"": ""aːlʔ|uuːl"", ""name_part_2"": ""kuːnt"", ""name_part_3"": ""ʔawrɣl""}"
621,http://www.wikidata.org/entity/Q286582,المنصور سيف الدين أبو بكر,ar,mnsˤawr sajf aːldjn ʔbw bkr,,سلطان مملوكي,1321-01-01,1341-01-01,20,"{""name_part_0"": ""mnsˤawr"", ""name_part_1"": ""sajf"", ""name_part_2"": ""aːldjn"", ""name_part_3"": ""ʔbw"", ""name_part_4"": ""bkr""}"
622,http://www.wikidata.org/entity/Q628624,جاك الأول، كونت لامارش,ar,gaːk aːlʔ|uuːl kuːnt laːmaːrʃ,جيمس الأول، كونت لامارش,,1321-01-01,1362-04-14,41,"{""name_part_0"": ""gaːk"", ""name_part_1"": ""aːlʔ|uuːl"", ""name_part_2"": ""kuːnt"", ""name_part_3"": ""laːmaːrʃ""}"
623,http://www.wikidata.org/entity/Q704619,تشانغ شيتشنغ,ar,tʃaːnɣ ʃjtʃnɣ,,,1321-01-01,1367-01-01,46,"{""name_part_0"": ""tʃaːnɣ"", ""name_part_1"": ""ʃjtʃnɣ""}"
624,http://www.wikidata.org/entity/Q242322,جوان البرج,ar,gwaːn aːlbrg,جوان من إنجلترا,ملكة اسكتلندا,1321-07-13,1362-09-15,41,"{""name_part_0"": ""gwaːn"", ""name_part_1"": ""aːlbrg""}"
625,http://www.wikidata.org/entity/Q107344361,شمس الدين الزركشي,ar,ʃms aːldjn aːlzrkʃaj,محمد بن عبد الله بن محمد الزركشي,فقيه حنبلي (722 – 772هـ / 1322 – 1370م),1322-01-01,1370-12-21,48,"{""name_part_0"": ""ʃms"", ""name_part_1"": ""aːldjn"", ""name_part_2"": ""aːlzrkʃaj""}"
626,http://www.wikidata.org/entity/Q110010,شين دون,ar,ʃajn dawn,,,1322-01-01,1371-01-01,49,"{""name_part_0"": ""ʃajn"", ""name_part_1"": ""dawn""}"
627,http://www.wikidata.org/entity/Q125098016,الكُومي,ar,k_oːmj,أحمد بن عثمان بن إدريس بن محمد الكومي,أمير ثائر وحفيد آخر ملوك بني عبد المؤمن بالمغرب,1322-01-01,1361-01-01,39,"{""name_part_0"": ""k_oːmj""}"
