Unnamed: 0,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
997,http://www.wikidata.org/entity/Q52945,arīk harbʿa ʿṣr mlkh ṣuudīa,he,ʔriq hʔʁvʔa ʕʃʁ mlχ ʃvoia,,מלך שוודיה במאה ה-16,1533-12-13,1577-02-26,44,"{""name_part_0"": ""arīk"", ""name_part_1"": ""harbʿa"", ""name_part_2"": ""ʿṣr"", ""name_part_3"": ""mlkh"", ""name_part_4"": ""ṣuudīa""}"
998,http://www.wikidata.org/entity/Q339509,harī,he,hʔri,יצחק לוריא,"יצחק בן שלמה לוריא, מקובל מהמאה ה-16, נחשב לגדול המקובלים בכל הדורות",1534-01-01,1572-08-04,38,"{""name_part_0"": ""harī""}"
999,http://www.wikidata.org/entity/Q361184,gīīms hfbrn ruzn butuul,he,ɡiims hfbʁn rozn botol,,,1534-01-01,1578-04-24,44,"{""name_part_0"": ""gīīms"", ""name_part_1"": ""hfbrn"", ""name_part_2"": ""ruzn"", ""name_part_3"": ""butuul""}"
1000,http://www.wikidata.org/entity/Q585052,fulkr kuītr,he,folχʁ qoitʁ,,חוקר אנטומיה הולנדי,1534-01-01,1576-06-22,42,"{""name_part_0"": ""fulkr"", ""name_part_1"": ""kuītr""}"
1001,http://www.wikidata.org/entity/Q853616,ḥurḥa baturī,he,ħoʁχa bʔtori,,,1534-01-01,1570-01-01,36,"{""name_part_0"": ""ḥurḥa"", ""name_part_1"": ""baturī""}"
1002,http://www.wikidata.org/entity/Q171411,ūda nubunaga,he,aoda novonʔɡa,נובונאגה אודה,מדינאי יפני בן המאה ה-16.,1534-07-03,1582-07-01,48,"{""name_part_0"": ""ūda"", ""name_part_1"": ""nubunaga""}"
1003,http://www.wikidata.org/entity/Q92203,krl hraṣun nsīkh anhlt-ṣrbst,he,qʁl hrʔʃon nsiχ ʔnhlttsrvst,,נסיך גרמני,1534-11-17,1561-03-04,27,"{""name_part_0"": ""krl"", ""name_part_1"": ""hraṣun"", ""name_part_2"": ""nsīkh"", ""name_part_3"": ""anhlt-ṣrbst""}"
1004,http://www.wikidata.org/entity/Q4527407,ʾIuuan ṣuīskī,he,ʔivon ʃoisqi,,,1535-01-01,1573-01-01,38,"{""name_part_0"": ""ʾIuuan"", ""name_part_1"": ""ṣuīskī""}"
1005,http://www.wikidata.org/entity/Q453156,lūtaru,he,laotʔro,,מנהיג המפוצ'ה,1535-01-01,1557-05-09,22,"{""name_part_0"": ""lūtaru""}"
1006,http://www.wikidata.org/entity/Q453480,lurd gīlfurd ddlī,he,loʁd ɡilford ddli,,,1535-01-01,1554-02-12,19,"{""name_part_0"": ""lurd"", ""name_part_1"": ""gīlfurd"", ""name_part_2"": ""ddlī""}"
1007,http://www.wikidata.org/entity/Q467934,sʾIīrī tufak,he,sʔiiʁi tofʔq,,,1535-01-01,1561-01-01,26,"{""name_part_0"": ""sʾIīrī"", ""name_part_1"": ""tufak""}"
1008,http://www.wikidata.org/entity/Q96075458,an brns,he,ʔn bʁns,,,1535-01-01,1564-01-01,29,"{""name_part_0"": ""an"", ""name_part_1"": ""brns""}"
1009,http://www.wikidata.org/entity/Q164178,alnur da ruʾI,he,ʔlnoʁ da ʁoʔi,,אצילה צרפתית,1535-03-06,1564-08-02,29,"{""name_part_0"": ""alnur"", ""name_part_1"": ""da"", ""name_part_2"": ""ruʾI""}"
1010,http://www.wikidata.org/entity/Q170264,ḥuana mūstrīh nsīkt furtugl,he,ħoʔna maostrih nsiχt fortoɡl,,,1535-07-04,1573-09-17,38,"{""name_part_0"": ""ḥuana"", ""name_part_1"": ""mūstrīh"", ""name_part_2"": ""nsīkt"", ""name_part_3"": ""furtugl""}"
1011,http://www.wikidata.org/entity/Q5362047,alīhu bʿl ṣm muuīrmīīza,he,ʔliho bʕl ʃm moiʁmiizʔ,,,1536-01-01,1583-01-01,47,"{""name_part_0"": ""alīhu"", ""name_part_1"": ""bʿl"", ""name_part_2"": ""ṣm"", ""name_part_3"": ""muuīrmīīza""}"
1012,http://www.wikidata.org/entity/Q1098756,lurnṣu kusta hṣʿīr,he,lorntso kosta htsʔir,,אמן איטלקי,1537-01-01,1583-09-29,46,"{""name_part_0"": ""lurnṣu"", ""name_part_1"": ""kusta"", ""name_part_2"": ""hṣʿīr""}"
1013,http://www.wikidata.org/entity/Q162356,gīīn grīī,he,ɡiin ɡrii,ליידי ג'יין גריי,מלכת אנגליה למשך 9 ימים בלבד,1537-01-01,1554-02-22,17,"{""name_part_0"": ""gīīn"", ""name_part_1"": ""grīī""}"
1014,http://www.wikidata.org/entity/Q2675612,alīzbt mluktnbrg,he,ʔlizvt mloχtnbʁɡ,,,1537-03-01,1579-07-06,42,"{""name_part_0"": ""alīzbt"", ""name_part_1"": ""mluktnbrg""}"
1015,http://www.wikidata.org/entity/Q64984,krīstuf hṣnī mrkīz badn-rudmakrn,he,χʁistof hʃni mʁkiz bʔdnrvdmʔχrn,,,1537-03-08,1575-08-12,38,"{""name_part_0"": ""krīstuf"", ""name_part_1"": ""hṣnī"", ""name_part_2"": ""mrkīz"", ""name_part_3"": ""badn-rudmakrn""}"
1016,http://www.wikidata.org/entity/Q442501,ẓuaū mnual nsīkh furtugl,he,zoʔao mnoʔl nsiχ fortoɡl,,,1537-06-13,1554-01-12,17,"{""name_part_0"": ""ẓuaū"", ""name_part_1"": ""mnual"", ""name_part_2"": ""nsīkh"", ""name_part_3"": ""furtugl""}"
1017,http://www.wikidata.org/entity/Q83229,aduard hṣīṣī,he,ʔdoʔʁd hʃiʃi,אדוארד השישי מלך אנגליה,מלך אנגליה,1537-10-22,1553-07-16,16,"{""name_part_0"": ""aduard"", ""name_part_1"": ""hṣīṣī""}"
1018,http://www.wikidata.org/entity/Q1998583,rubrt uīīt,he,rovʁt wiit,,מלחין אנגלי,1538-01-01,1574-11-01,36,"{""name_part_0"": ""rubrt"", ""name_part_1"": ""uīīt""}"
1019,http://www.wikidata.org/entity/Q832421,īuhan frīdrīkh hṣlīṣī duks sksunīa,he,johʔn fʁidriχ hʃliʃi doχs sqsonia,,דוכס סקסוניה במאה ה-16,1538-01-16,1565-10-31,27,"{""name_part_0"": ""īuhan"", ""name_part_1"": ""frīdrīkh"", ""name_part_2"": ""hṣlīṣī"", ""name_part_3"": ""duks"", ""name_part_4"": ""sksunīa""}"
1020,http://www.wikidata.org/entity/Q216946,karlu burumū,he,kʔrlo boromao,קרלו בורומאו,קרדינל וארכיבישוף מילאנו,1538-10-12,1584-11-03,46,"{""name_part_0"": ""karlu"", ""name_part_1"": ""burumū""}"
1021,http://www.wikidata.org/entity/Q27539394,mrīa manhlt-ṣrbst,he,mria mʔnhlttsrvst,,,1538-12-11,1563-05-05,25,"{""name_part_0"": ""mrīa"", ""name_part_1"": ""manhlt-ṣrbst""}"
1022,http://www.wikidata.org/entity/Q85141,zīgīsmund mbrndnburg,he,ziɡismond mvrndnboʁɡ,,,1538-12-21,1566-09-23,28,"{""name_part_0"": ""zīgīsmund"", ""name_part_1"": ""mbrndnburg""}"
1023,http://www.wikidata.org/entity/Q1381348,frnsīsku da ʾIbrra,he,fʁnsisqo da ʔivʁra,,חוקר ארצות ספרדי,1539-01-01,1575-01-01,36,"{""name_part_0"": ""frnsīsku"", ""name_part_1"": ""da"", ""name_part_2"": ""ʾIbrra""}"
1024,http://www.wikidata.org/entity/Q441962,alīzbt mhsn nsīkt hbuḥr mffalṣ,he,ʔlizvt mhsn nsiχt hboχʁ mffʔlts,,,1539-02-23,1582-03-24,43,"{""name_part_0"": ""alīzbt"", ""name_part_1"": ""mhsn"", ""name_part_2"": ""nsīkt"", ""name_part_3"": ""hbuḥr"", ""name_part_4"": ""mffalṣ""}"
1025,http://www.wikidata.org/entity/Q677071,tubīas ṣtīmr,he,toviʔs ʃtimr,,אמן שווייצרי,1539-04-07,1584-01-04,45,"{""name_part_0"": ""tubīas"", ""name_part_1"": ""ṣtīmr""}"
1026,http://www.wikidata.org/entity/Q63277,luduuīg hṣīṣī hnsīkh hbuḥr mffalṣ,he,lodoiɡ hʃiʃi hnsiχ hboχʁ mffʔlts,,,1539-07-14,1583-10-12,44,"{""name_part_0"": ""luduuīg"", ""name_part_1"": ""hṣīṣī"", ""name_part_2"": ""hnsīkh"", ""name_part_3"": ""hbuḥr"", ""name_part_4"": ""mffalṣ""}"
1027,http://www.wikidata.org/entity/Q107557038,uuīṣīnṣu kuntī,he,wjtsjntsv kwnti,"קונטי, ויצנץ",,1540-01-01,1570-01-01,30,"{""name_part_0"": ""uuīṣīnṣu"", ""name_part_1"": ""kuntī""}"
1028,http://www.wikidata.org/entity/Q1429489,flurntīu mskra,he,florntio mskʁa,,מלחין איטלקי,1540-01-01,1584-01-01,44,"{""name_part_0"": ""flurntīu"", ""name_part_1"": ""mskra""}"
1029,http://www.wikidata.org/entity/Q167184,fīruz ṣaa surī,he,firoz ʃʔa sori,,,1540-01-01,1554-01-01,14,"{""name_part_0"": ""fīruz"", ""name_part_1"": ""ṣaa"", ""name_part_2"": ""surī""}"
1030,http://www.wikidata.org/entity/Q2046841,antunīu da asfḥu,he,ʔntonio da ʔsfħo,,חוקר ארצות ספרדי,1540-01-01,1585-01-01,45,"{""name_part_0"": ""antunīu"", ""name_part_1"": ""da"", ""name_part_2"": ""asfḥu""}"
1031,http://www.wikidata.org/entity/Q75246049,mgdlna sufīa mbrūnṣuuīīg-līnburg,he,mɡdlna sofia mbraonʃoiiɡlinvorɡ,,,1540-01-01,1586-01-01,46,"{""name_part_0"": ""mgdlna"", ""name_part_1"": ""sufīa"", ""name_part_2"": ""mbrūnṣuuīīg-līnburg""}"
1032,http://www.wikidata.org/entity/Q102518,brnhrd hṣbīʿī nsīkh anhlt-ṣrbst,he,brnhrd hʃviʕi nsiχ ʔnhlttsrvst,,,1540-03-27,1570-03-11,30,"{""name_part_0"": ""brnhrd"", ""name_part_1"": ""hṣbīʿī"", ""name_part_2"": ""nsīkh"", ""name_part_3"": ""anhlt-ṣrbst""}"
1033,http://www.wikidata.org/entity/Q313396,īanuṣ ẓīgmund zafuīʾI,he,jʔnoʃ ziɡmvnd zʔfoiʔi,יאנוש השני זאופיאי,"שליט טרנסילבניה, מלך הונגריה",1540-07-07,1571-03-24,31,"{""name_part_0"": ""īanuṣ"", ""name_part_1"": ""ẓīgmund"", ""name_part_2"": ""zafuīʾI""}"
1034,http://www.wikidata.org/entity/Q329117,adulf mnsū,he,ʔdolf mnsao,,רוזן נסאו,1540-07-11,1568-06-02,28,"{""name_part_0"": ""adulf"", ""name_part_1"": ""mnsū""}"
1035,http://www.wikidata.org/entity/Q335118,ʿbd al mlīk,he,ʕvd ʔl mliχ,,,1541-01-01,1578-08-14,37,"{""name_part_0"": ""ʿbd"", ""name_part_1"": ""al"", ""name_part_2"": ""mlīk""}"
1036,http://www.wikidata.org/entity/Q55846716,nīkulūs sulīs,he,nikolaos solis,,,1541-01-01,1583-01-01,42,"{""name_part_0"": ""nīkulūs"", ""name_part_1"": ""sulīs""}"
1037,http://www.wikidata.org/entity/Q68377,fīlīf hṣnī ruzn hsn-rīīnfls,he,filif hʃni rozn hsnriinfls,,,1541-01-01,1583-11-20,42,"{""name_part_0"": ""fīlīf"", ""name_part_1"": ""hṣnī"", ""name_part_2"": ""ruzn"", ""name_part_3"": ""hsn-rīīnfls""}"
1038,http://www.wikidata.org/entity/Q75713954,fīlīf grf dīaṣ,he,filif ɡrf diʔts,,,1541-03-12,1569-06-10,28,"{""name_part_0"": ""fīlīf"", ""name_part_1"": ""grf"", ""name_part_2"": ""dīaṣ""}"
1039,http://www.wikidata.org/entity/Q544086,sufīa mbrndnburg,he,sofia mvrndnboʁɡ,,,1541-12-14,1564-06-27,23,"{""name_part_0"": ""sufīa"", ""name_part_1"": ""mbrndnburg""}"
1040,http://www.wikidata.org/entity/Q271831,ʾIzbla dh-mdīḍī,he,ʔizvla dhmditsi,,,1542-09-10,1576-07-26,34,"{""name_part_0"": ""ʾIzbla"", ""name_part_1"": ""dh-mdīḍī""}"
1041,http://www.wikidata.org/entity/Q2701474,ẓuaū hraṣun duks brgnsa,he,zoʔao hrʔʃon doχs bʁɡnsa,,,1543-01-01,1583-02-22,40,"{""name_part_0"": ""ẓuaū"", ""name_part_1"": ""hraṣun"", ""name_part_2"": ""duks"", ""name_part_3"": ""brgnsa""}"
1042,http://www.wikidata.org/entity/Q132548,frnsuaa hṣnī mlkh ṣrft,he,frnsoʔa hʃni mlχ tsʁft,פרנסואה השני מלך צרפת,מלך צרפת בין השנים 1559 ל-1560,1544-01-29,1560-12-15,16,"{""name_part_0"": ""frnsuaa"", ""name_part_1"": ""hṣnī"", ""name_part_2"": ""mlkh"", ""name_part_3"": ""ṣrft""}"
1043,http://www.wikidata.org/entity/Q110370418,lamurl ruzn agmunt,he,lʔmoʁl rozn ʔɡmont,,,1545-01-01,1582-01-01,37,"{""name_part_0"": ""lamurl"", ""name_part_1"": ""ruzn"", ""name_part_2"": ""agmunt""}"
1044,http://www.wikidata.org/entity/Q296269,tufak amaru,he,tofʔq ʔmʔro,,,1545-01-01,1572-10-04,27,"{""name_part_0"": ""tufak"", ""name_part_1"": ""amaru""}"
1045,http://www.wikidata.org/entity/Q3348692,muḥmd ʿadil ṣaa,he,moχmd ʕʔdl ʃʔa,,,1545-01-01,1557-01-01,12,"{""name_part_0"": ""muḥmd"", ""name_part_1"": ""ʿadil"", ""name_part_2"": ""ṣaa""}"
1046,http://www.wikidata.org/entity/Q76488,ana msksunīa,he,ʔna msksonia,,,1545-01-02,1577-12-28,32,"{""name_part_0"": ""ana"", ""name_part_1"": ""msksunīa""}"
1047,http://www.wikidata.org/entity/Q176041,alīzbt da uluah nsīkt ṣrft,he,ʔlizvt da vloʔh nsiχt tsʁft,,,1545-04-12,1568-10-13,23,"{""name_part_0"": ""alīzbt"", ""name_part_1"": ""da"", ""name_part_2"": ""uluah"", ""name_part_3"": ""nsīkt"", ""name_part_4"": ""ṣrft""}"
1048,http://www.wikidata.org/entity/Q159817,krlus nsīkh asturīas,he,krlos nsiχ ʔstoʁiʔs,,,1545-07-18,1568-07-24,23,"{""name_part_0"": ""krlus"", ""name_part_1"": ""nsīkh"", ""name_part_2"": ""asturīas""}"
1049,http://www.wikidata.org/entity/Q120351,alīzbt manhlt-ṣrbst,he,ʔlizvt mʔnhlttsrvst,,,1545-10-15,1574-09-26,29,"{""name_part_0"": ""alīzbt"", ""name_part_1"": ""manhlt-ṣrbst""}"
1050,http://www.wikidata.org/entity/Q12709892,muṣafr hṣnī sultn guhur,he,motsʔfʁ hʃni soltn ɡvhoʁ,מוצאפר שאה השני,סולטן ג'והור בין השנים 1564–1570,1546-01-01,1570-01-01,24,"{""name_part_0"": ""muṣafr"", ""name_part_1"": ""hṣnī"", ""name_part_2"": ""sultn"", ""name_part_3"": ""guhur""}"
1051,http://www.wikidata.org/entity/Q271581,ṣarlut da burbun,he,ʃʔʁlot da borbon,,,1546-01-01,1582-05-05,36,"{""name_part_0"": ""ṣarlut"", ""name_part_1"": ""da"", ""name_part_2"": ""burbun""}"
1052,http://www.wikidata.org/entity/Q312381,hnrī stīuart lurd drnlī,he,hnri stioʔrt loʁd dʁnli,,בעלה של מלכת סקוטלנד מ-1565 עד הירצחו ב-1567,1546-01-01,1567-02-10,21,"{""name_part_0"": ""hnrī"", ""name_part_1"": ""stīuart"", ""name_part_2"": ""lurd"", ""name_part_3"": ""drnlī""}"
1053,http://www.wikidata.org/entity/Q75713968,albrkt ruzn dīaṣ,he,ʔlbʁχt rozn diʔts,,,1546-03-01,1569-10-03,23,"{""name_part_0"": ""albrkt"", ""name_part_1"": ""ruzn"", ""name_part_2"": ""dīaṣ""}"
1054,http://www.wikidata.org/entity/Q2443197,ftru hṣʿīr,he,ftro htsʔir,,,1547-01-01,1569-08-29,22,"{""name_part_0"": ""ftru"", ""name_part_1"": ""hṣʿīr""}"
1055,http://www.wikidata.org/entity/Q84459,īuhna mūstrīh hduksīt hgdula ṣl tuskna,he,johna maostrih hdoχsit hɡdola ʃl tosqna,,,1547-01-24,1578-04-11,31,"{""name_part_0"": ""īuhna"", ""name_part_1"": ""mūstrīh"", ""name_part_2"": ""hduksīt"", ""name_part_3"": ""hgdula"", ""name_part_4"": ""ṣl"", ""name_part_5"": ""tuskna""}"
1056,http://www.wikidata.org/entity/Q157107,ḥuan da ūstrīa,he,ħoʔn da aostria,,,1547-03-06,1578-10-11,31,"{""name_part_0"": ""ḥuan"", ""name_part_1"": ""da"", ""name_part_2"": ""ūstrīa""}"
1057,http://www.wikidata.org/entity/Q75713970,fīlīf kunrd grf dīaṣ,he,filif konrd ɡrf diʔts,,,1547-09-29,1569-05-25,22,"{""name_part_0"": ""fīlīf"", ""name_part_1"": ""kunrd"", ""name_part_2"": ""grf"", ""name_part_3"": ""dīaṣ""}"
