Unnamed: 0,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
817,http://www.wikidata.org/entity/Q235447,fīlībā alʾinjlīzīah,ar,fiːljbaː aːlʔ|inʒleːziːa,,,1394-07-04,1430-01-14,36,"{""name_part_0"": ""fīlībā"", ""name_part_1"": ""alʾinjlīzīah""}"
818,http://www.wikidata.org/entity/Q235234,jīms alaūl mlk āsktlndā,ar,geːms aːlʔ|uuːl mlk aːsktlndaː,,,1394-08-02,1437-03-02,43,"{""name_part_0"": ""jīms"", ""name_part_1"": ""alaūl"", ""name_part_2"": ""mlk"", ""name_part_3"": ""āsktlndā""}"
819,http://www.wikidata.org/entity/Q3147516,ʾibrāhīm slṭān,ar,ʔbraːhiːm sltˤaːn,إبراهيم سلطان بن شاه رخ,,1394-09-03,1435-05-12,41,"{""name_part_0"": ""ʾibrāhīm"", ""name_part_1"": ""slṭān""}"
820,http://www.wikidata.org/entity/Q124747939,almnṣūr ābn barʼqūq,ar,mnsˤawr aːbn b_rqwʔ,عبد العزيز ابن برقون بن أنص - أو أنس - العثماني الجركسي,من ملوك الجراكسة بمصر والشام، بويع بالسلطنة وهو طفل وظلت سلطنته نحو شهرين قبل أن يستعيد السلطنة من قبل أخيه,1395-01-01,1407-01-01,12,"{""name_part_0"": ""almnṣūr"", ""name_part_1"": ""ābn"", ""name_part_2"": ""barʼqūq""}"
821,http://www.wikidata.org/entity/Q558111,almnṣūr ʿbd alʿzīz bn brqūq,ar,mnsˤawr ʕbd aːlʕzeːz bn brqˤawr ʕbd aːlʕzeːz bn brʔoːq,المنصور عبدالعزيز بن برقوق,سلطان مملوكي,1395-01-01,1406-09-29,11,"{""name_part_0"": ""almnṣūr"", ""name_part_1"": ""ʿbd"", ""name_part_2"": ""alʿzīz"", ""name_part_3"": ""bn"", ""name_part_4"": ""brqūq""}"
822,http://www.wikidata.org/entity/Q932292,lūrīnzū dī jūfānī dī mīdīshī,ar,lwreːnzw diː dʒwfaːniː diː miːdajʃeː,,,1395-01-01,1440-10-02,45,"{""name_part_0"": ""lūrīnzū"", ""name_part_1"": ""dī"", ""name_part_2"": ""jūfānī"", ""name_part_3"": ""dī"", ""name_part_4"": ""mīdīshī""}"
823,http://www.wikidata.org/entity/Q3172556,jūn hūlānd,ar,dʒawn huːlaːnd,,,1395-04-06,1447-08-05,52,"{""name_part_0"": ""jūn"", ""name_part_1"": ""hūlānd""}"
824,http://www.wikidata.org/entity/Q380330,flād althānī drākūl,ar,flaːd aːlθaːnaj draːkwl,,أمير الأفلاق (حكم 1436 – 1442م),1395-09-07,1447-12-13,52,"{""name_part_0"": ""flād"", ""name_part_1"": ""althānī"", ""name_part_2"": ""drākūl""}"
825,http://www.wikidata.org/entity/Q292188,būn mn artūā,ar,bawn mn ʔrtuːaː,,سياسية فرنسية,1396-01-01,1425-09-17,29,"{""name_part_0"": ""būn"", ""name_part_1"": ""mn"", ""name_part_2"": ""artūā""}"
826,http://www.wikidata.org/entity/Q1392926,jān alrābʿ kūnt armānīāk,ar,gaːn aːlraːbʕ kuːnt ʔrmaːniːaːk,,,1396-10-15,1450-11-05,54,"{""name_part_0"": ""jān"", ""name_part_1"": ""alrābʿ"", ""name_part_2"": ""kūnt"", ""name_part_3"": ""armānīāk""}"
